# Data saved by LaserCtrl
# Date: 2023-03-24 12:45:49
# Epochtime: 1679676349.5232272
# Begin config
# DAQ:
#   ai: Dev1/ai3
#   ai_ref: Dev1/ai3
#   dev: Dev1
#   timeout: 5.0
#   trig: /Dev1/PFI1
# GUI:
#   Defaults:
#     center: 1550
#     finestart: -100.0
#     finestep: 1.0
#     finestop: 100.0
#     samples_centerspan: 2000
#     samples_startstop: 100000
#     span: 1
#     speed_centerspan: 20
#     speed_startstop: 40.0
#     start: 1480
#     step_delay: 0.1
#     stop: 1550
#   overwrite_config: false
#   refresh: 0.3
# Laser:
#   kind: SantecTSL
#   rsc_name: GPIB2::9::INSTR
# LaserSettings:
#   attenuation: 0
#   fine: 0.0
#   wavelength: 1551.0
# Monitor:
#   scroll_time: 10
#   tstep: 0.05
# Save:
#   compress: false
#   dir: ..\..\..\data\CEO22_COH_v2\20230324_final_checks
#   fname: voltage_sweep_BD_1530nm_47.0V_0dBatt_med
#   loop_save: false
# Scan:
#   Finescan:
#     finestart: -99.0
#     finestep: 1.0
#     finestop: 99.0
#     step_delay: 0.1
#   Wavscan:
#     samples: 40000
#     speed: 40
#     wavstart: 1529
#     wavstop: 1531
#   epoch_time: 0.0
#   loop_delay: 0.3
#   twoway: false
#   type: wavscan
# End config
# Begin data
# Columns: wavelength PD voltage
# Units: nm V
1.529000000e+03 3.844394911e-01
1.529000050e+03 3.826680065e-01
1.529000100e+03 3.842784470e-01
1.529000150e+03 3.842784470e-01
1.529000200e+03 3.857278435e-01
1.529000250e+03 3.850836673e-01
1.529000300e+03 3.849226232e-01
1.529000350e+03 3.855667994e-01
1.529000400e+03 3.855667994e-01
1.529000450e+03 3.855667994e-01
1.529000500e+03 3.866941078e-01
1.529000550e+03 3.862109756e-01
1.529000600e+03 3.878214162e-01
1.529000650e+03 3.874993281e-01
1.529000700e+03 3.868551518e-01
1.529000750e+03 3.879824602e-01
1.529000800e+03 3.886266364e-01
1.529000850e+03 3.870161959e-01
1.529000900e+03 3.889487245e-01
1.529000950e+03 3.895929007e-01
1.529001000e+03 3.883045483e-01
1.529001050e+03 3.884655924e-01
1.529001100e+03 3.891097686e-01
1.529001150e+03 3.897539448e-01
1.529001200e+03 3.903981210e-01
1.529001250e+03 3.903981210e-01
1.529001300e+03 3.895929007e-01
1.529001350e+03 3.907202091e-01
1.529001400e+03 3.920085615e-01
1.529001450e+03 3.895929007e-01
1.529001500e+03 3.907202091e-01
1.529001550e+03 3.916864734e-01
1.529001600e+03 3.920085615e-01
1.529001650e+03 3.920085615e-01
1.529001700e+03 3.924916937e-01
1.529001750e+03 3.923306496e-01
1.529001800e+03 3.913643853e-01
