Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	1
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	329
ENSMUST00000156816	436
ENSMUST00000045689	268
ENSMUST00000115538	316
ENSMUST00000192286	265
ENSMUST00000146665	256
ENSMUST00000132625	149
ENSMUST00000195445	7
ENSMUST00000134384	390
ENSMUST00000027036	1023
ENSMUST00000150971	389
ENSMUST00000119612	344
ENSMUST00000137887	314
ENSMUST00000115529	466
ENSMUST00000131119	373
ENSMUST00000141278	256
ENSMUST00000155020	540
ENSMUST00000081551	727
ENSMUST00000165720	679
ENSMUST00000194052	0
ENSMUST00000002533	9
ENSMUST00000118000	9
ENSMUST00000119256	7
ENSMUST00000170566	7
ENSMUST00000147158	4
ENSMUST00000156289	3
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	551
ENSMUST00000044369	583
ENSMUST00000194676	216
ENSMUST00000194301	544
ENSMUST00000194978	111
ENSMUST00000192029	170
ENSMUST00000192698	580
ENSMUST00000192142	234
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	168
ENSMUST00000160871	225
ENSMUST00000027040	3091
ENSMUST00000162210	150
ENSMUST00000160062	145
ENSMUST00000162795	1264
ENSMUST00000161327	2828
ENSMUST00000159802	591
ENSMUST00000162257	1605
ENSMUST00000159206	122
ENSMUST00000159661	471
ENSMUST00000161183	260
ENSMUST00000159349	291
ENSMUST00000159530	547
ENSMUST00000162418	220
ENSMUST00000159656	474
ENSMUST00000133144	269
ENSMUST00000140079	4
ENSMUST00000131494	4
ENSMUST00000043578	4
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	3
ENSMUST00000151281	3
ENSMUST00000139838	0
ENSMUST00000163727	4
ENSMUST00000132207	0
ENSMUST00000142304	3
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	780
ENSMUST00000182114	124
ENSMUST00000182306	29
ENSMUST00000182823	480
ENSMUST00000182675	223
ENSMUST00000182388	103
ENSMUST00000182892	648
ENSMUST00000183204	642
ENSMUST00000194854	27
ENSMUST00000132064	0
ENSMUST00000191683	0
ENSMUST00000140295	0
ENSMUST00000140302	0
ENSMUST00000115484	0
ENSMUST00000135046	0
ENSMUST00000115488	0
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	0
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	651
ENSMUST00000144177	23
ENSMUST00000027044	22
ENSMUST00000130927	5
ENSMUST00000186467	9
ENSMUST00000190654	22
ENSMUST00000088666	0
ENSMUST00000088658	561
ENSMUST00000115468	325
ENSMUST00000160022	47
ENSMUST00000160451	48
ENSMUST00000188212	107
ENSMUST00000057438	794
ENSMUST00000166384	254
ENSMUST00000188782	256
ENSMUST00000168907	254
ENSMUST00000188625	0
ENSMUST00000188738	229
ENSMUST00000188298	244
ENSMUST00000171265	255
ENSMUST00000188830	24
ENSMUST00000189050	48
ENSMUST00000097826	230
ENSMUST00000191338	76
ENSMUST00000188486	41
ENSMUST00000052843	0
ENSMUST00000171802	0
ENSMUST00000125294	0
ENSMUST00000140948	2
ENSMUST00000118098	0
ENSMUST00000183059	0
ENSMUST00000185184	51
ENSMUST00000097824	39
ENSMUST00000192299	1
ENSMUST00000147000	0
ENSMUST00000124874	0
ENSMUST00000027049	0
ENSMUST00000130102	0
ENSMUST00000176398	0
ENSMUST00000155163	0
ENSMUST00000027050	702
ENSMUST00000190155	445
ENSMUST00000186528	628
ENSMUST00000188619	374
ENSMUST00000139578	602
ENSMUST00000150509	356
ENSMUST00000191296	250
ENSMUST00000190610	6
ENSMUST00000191012	75
ENSMUST00000071087	1166
ENSMUST00000143606	118
ENSMUST00000191360	86
ENSMUST00000117415	272
ENSMUST00000191521	82
ENSMUST00000118263	283
ENSMUST00000122156	287
ENSMUST00000190063	82
ENSMUST00000119714	271
ENSMUST00000134716	85
ENSMUST00000155974	82
ENSMUST00000186294	1071
ENSMUST00000149214	130
ENSMUST00000190318	115
ENSMUST00000188249	216
ENSMUST00000153804	130
ENSMUST00000188449	265
ENSMUST00000123261	176
ENSMUST00000185422	150
ENSMUST00000190625	126
ENSMUST00000187226	301
ENSMUST00000136283	93
ENSMUST00000128164	77
ENSMUST00000136898	64
ENSMUST00000148663	90
ENSMUST00000194474	0
ENSMUST00000088615	1974
ENSMUST00000187417	146
ENSMUST00000142497	104
ENSMUST00000156563	349
ENSMUST00000128834	30
ENSMUST00000131556	1066
ENSMUST00000186813	180
ENSMUST00000186720	280
ENSMUST00000192111	7
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	362
ENSMUST00000190935	13
ENSMUST00000189822	64
ENSMUST00000187694	32
ENSMUST00000188189	38
ENSMUST00000187745	39
ENSMUST00000189385	57
ENSMUST00000188154	28
ENSMUST00000193623	0
ENSMUST00000171690	0
ENSMUST00000048613	0
ENSMUST00000150870	0
ENSMUST00000142117	0
ENSMUST00000141512	0
ENSMUST00000135014	0
ENSMUST00000137824	0
ENSMUST00000179089	0
ENSMUST00000141339	0
ENSMUST00000191437	0
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	0
ENSMUST00000180062	0
ENSMUST00000186051	0
ENSMUST00000187376	0
ENSMUST00000088585	0
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	0
ENSMUST00000188454	23
ENSMUST00000115403	23
ENSMUST00000115402	14
ENSMUST00000136197	11
ENSMUST00000146763	10
ENSMUST00000147606	11
ENSMUST00000133201	2
ENSMUST00000191566	6
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	715
ENSMUST00000068304	715
ENSMUST00000006037	518
ENSMUST00000185275	2
ENSMUST00000146784	27
ENSMUST00000133232	59
ENSMUST00000147927	288
ENSMUST00000143603	270
ENSMUST00000139970	96
ENSMUST00000124088	82
ENSMUST00000145280	79
ENSMUST00000195493	1
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	0
ENSMUST00000195506	2
ENSMUST00000195718	6
ENSMUST00000027068	2916
ENSMUST00000185447	786
ENSMUST00000188377	708
ENSMUST00000027071	533
ENSMUST00000156222	107
ENSMUST00000194537	13
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	147
ENSMUST00000168081	147
ENSMUST00000080664	137
ENSMUST00000190337	111
ENSMUST00000189526	12
ENSMUST00000188857	57
ENSMUST00000185453	39
ENSMUST00000187790	36
ENSMUST00000185329	7
ENSMUST00000193605	0
