Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	0
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	297
ENSMUST00000156816	395
ENSMUST00000045689	236
ENSMUST00000115538	312
ENSMUST00000192286	250
ENSMUST00000146665	239
ENSMUST00000132625	152
ENSMUST00000195445	8
ENSMUST00000134384	364
ENSMUST00000027036	954
ENSMUST00000150971	364
ENSMUST00000119612	311
ENSMUST00000137887	282
ENSMUST00000115529	428
ENSMUST00000131119	332
ENSMUST00000141278	239
ENSMUST00000155020	514
ENSMUST00000081551	656
ENSMUST00000165720	619
ENSMUST00000194052	0
ENSMUST00000002533	10
ENSMUST00000118000	10
ENSMUST00000119256	6
ENSMUST00000170566	6
ENSMUST00000147158	4
ENSMUST00000156289	3
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	557
ENSMUST00000044369	575
ENSMUST00000194676	224
ENSMUST00000194301	538
ENSMUST00000194978	112
ENSMUST00000192029	164
ENSMUST00000192698	574
ENSMUST00000192142	237
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	109
ENSMUST00000160871	135
ENSMUST00000027040	2571
ENSMUST00000162210	60
ENSMUST00000160062	97
ENSMUST00000162795	974
ENSMUST00000161327	2417
ENSMUST00000159802	470
ENSMUST00000162257	1463
ENSMUST00000159206	117
ENSMUST00000159661	472
ENSMUST00000161183	281
ENSMUST00000159349	270
ENSMUST00000159530	500
ENSMUST00000162418	186
ENSMUST00000159656	427
ENSMUST00000133144	341
ENSMUST00000140079	0
ENSMUST00000131494	0
ENSMUST00000043578	0
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	0
ENSMUST00000151281	0
ENSMUST00000139838	0
ENSMUST00000163727	0
ENSMUST00000132207	0
ENSMUST00000142304	0
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	575
ENSMUST00000182114	74
ENSMUST00000182306	18
ENSMUST00000182823	357
ENSMUST00000182675	138
ENSMUST00000182388	68
ENSMUST00000182892	489
ENSMUST00000183204	481
ENSMUST00000194854	37
ENSMUST00000132064	0
ENSMUST00000191683	0
ENSMUST00000140295	0
ENSMUST00000140302	0
ENSMUST00000115484	0
ENSMUST00000135046	0
ENSMUST00000115488	0
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	0
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	660
ENSMUST00000144177	21
ENSMUST00000027044	21
ENSMUST00000130927	3
ENSMUST00000186467	4
ENSMUST00000190654	22
ENSMUST00000088666	0
ENSMUST00000088658	524
ENSMUST00000115468	310
ENSMUST00000160022	44
ENSMUST00000160451	45
ENSMUST00000188212	108
ENSMUST00000057438	746
ENSMUST00000166384	181
ENSMUST00000188782	181
ENSMUST00000168907	181
ENSMUST00000188625	0
ENSMUST00000188738	160
ENSMUST00000188298	175
ENSMUST00000171265	181
ENSMUST00000188830	7
ENSMUST00000189050	22
ENSMUST00000097826	170
ENSMUST00000191338	57
ENSMUST00000188486	32
ENSMUST00000052843	0
ENSMUST00000171802	0
ENSMUST00000125294	0
ENSMUST00000140948	0
ENSMUST00000118098	0
ENSMUST00000183059	0
ENSMUST00000185184	35
ENSMUST00000097824	28
ENSMUST00000192299	0
ENSMUST00000147000	0
ENSMUST00000124874	0
ENSMUST00000027049	0
ENSMUST00000130102	0
ENSMUST00000176398	0
ENSMUST00000155163	0
ENSMUST00000027050	589
ENSMUST00000190155	382
ENSMUST00000186528	530
ENSMUST00000188619	310
ENSMUST00000139578	536
ENSMUST00000150509	301
ENSMUST00000191296	218
ENSMUST00000190610	9
ENSMUST00000191012	61
ENSMUST00000071087	1165
ENSMUST00000143606	103
ENSMUST00000191360	77
ENSMUST00000117415	227
ENSMUST00000191521	70
ENSMUST00000118263	227
ENSMUST00000122156	228
ENSMUST00000190063	70
ENSMUST00000119714	226
ENSMUST00000134716	69
ENSMUST00000155974	69
ENSMUST00000186294	1078
ENSMUST00000149214	108
ENSMUST00000190318	69
ENSMUST00000188249	211
ENSMUST00000153804	118
ENSMUST00000188449	280
ENSMUST00000123261	197
ENSMUST00000185422	180
ENSMUST00000190625	128
ENSMUST00000187226	270
ENSMUST00000136283	73
ENSMUST00000128164	89
ENSMUST00000136898	42
ENSMUST00000148663	79
ENSMUST00000194474	0
ENSMUST00000088615	1652
ENSMUST00000187417	103
ENSMUST00000142497	94
ENSMUST00000156563	337
ENSMUST00000128834	40
ENSMUST00000131556	799
ENSMUST00000186813	146
ENSMUST00000186720	231
ENSMUST00000192111	1
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	263
ENSMUST00000190935	3
ENSMUST00000189822	31
ENSMUST00000187694	15
ENSMUST00000188189	21
ENSMUST00000187745	24
ENSMUST00000189385	40
ENSMUST00000188154	24
ENSMUST00000193623	0
ENSMUST00000171690	2
ENSMUST00000048613	2
ENSMUST00000150870	1
ENSMUST00000142117	1
ENSMUST00000141512	2
ENSMUST00000135014	2
ENSMUST00000137824	2
ENSMUST00000179089	2
ENSMUST00000141339	1
ENSMUST00000191437	0
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	2
ENSMUST00000180062	2
ENSMUST00000186051	2
ENSMUST00000187376	1
ENSMUST00000088585	2
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	1
ENSMUST00000185780	0
ENSMUST00000188454	31
ENSMUST00000115403	31
ENSMUST00000115402	10
ENSMUST00000136197	7
ENSMUST00000146763	7
ENSMUST00000147606	7
ENSMUST00000133201	2
ENSMUST00000191566	5
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	546
ENSMUST00000068304	545
ENSMUST00000006037	382
ENSMUST00000185275	7
ENSMUST00000146784	38
ENSMUST00000133232	51
ENSMUST00000147927	180
ENSMUST00000143603	162
ENSMUST00000139970	45
ENSMUST00000124088	37
ENSMUST00000145280	32
ENSMUST00000195493	0
ENSMUST00000195811	2
ENSMUST00000194484	0
ENSMUST00000194357	1
ENSMUST00000195506	5
ENSMUST00000195718	7
ENSMUST00000027068	3117
ENSMUST00000185447	866
ENSMUST00000188377	734
ENSMUST00000027071	505
ENSMUST00000156222	85
ENSMUST00000194537	10
ENSMUST00000088542	1
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	125
ENSMUST00000168081	125
ENSMUST00000080664	121
ENSMUST00000190337	107
ENSMUST00000189526	17
ENSMUST00000188857	52
ENSMUST00000185453	23
ENSMUST00000187790	17
ENSMUST00000185329	2
ENSMUST00000193605	0
ENSMUST00000027062	43
