Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	0
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	281
ENSMUST00000156816	379
ENSMUST00000045689	211
ENSMUST00000115538	295
ENSMUST00000192286	214
ENSMUST00000146665	204
ENSMUST00000132625	134
ENSMUST00000195445	10
ENSMUST00000134384	348
ENSMUST00000027036	840
ENSMUST00000150971	345
ENSMUST00000119612	313
ENSMUST00000137887	262
ENSMUST00000115529	422
ENSMUST00000131119	319
ENSMUST00000141278	233
ENSMUST00000155020	463
ENSMUST00000081551	662
ENSMUST00000165720	613
ENSMUST00000194052	2
ENSMUST00000002533	5
ENSMUST00000118000	5
ENSMUST00000119256	1
ENSMUST00000170566	1
ENSMUST00000147158	1
ENSMUST00000156289	0
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	595
ENSMUST00000044369	629
ENSMUST00000194676	235
ENSMUST00000194301	603
ENSMUST00000194978	128
ENSMUST00000192029	180
ENSMUST00000192698	629
ENSMUST00000192142	257
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	122
ENSMUST00000160871	159
ENSMUST00000027040	2499
ENSMUST00000162210	90
ENSMUST00000160062	110
ENSMUST00000162795	962
ENSMUST00000161327	2304
ENSMUST00000159802	462
ENSMUST00000162257	1364
ENSMUST00000159206	120
ENSMUST00000159661	455
ENSMUST00000161183	302
ENSMUST00000159349	265
ENSMUST00000159530	424
ENSMUST00000162418	141
ENSMUST00000159656	395
ENSMUST00000133144	301
ENSMUST00000140079	1
ENSMUST00000131494	1
ENSMUST00000043578	1
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	1
ENSMUST00000151281	1
ENSMUST00000139838	0
ENSMUST00000163727	1
ENSMUST00000132207	0
ENSMUST00000142304	0
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	884
ENSMUST00000182114	110
ENSMUST00000182306	24
ENSMUST00000182823	545
ENSMUST00000182675	228
ENSMUST00000182388	104
ENSMUST00000182892	760
ENSMUST00000183204	750
ENSMUST00000194854	49
ENSMUST00000132064	0
ENSMUST00000191683	0
ENSMUST00000140295	0
ENSMUST00000140302	0
ENSMUST00000115484	0
ENSMUST00000135046	0
ENSMUST00000115488	0
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	0
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	609
ENSMUST00000144177	27
ENSMUST00000027044	26
ENSMUST00000130927	4
ENSMUST00000186467	7
ENSMUST00000190654	27
ENSMUST00000088666	0
ENSMUST00000088658	637
ENSMUST00000115468	375
ENSMUST00000160022	47
ENSMUST00000160451	46
ENSMUST00000188212	123
ENSMUST00000057438	860
ENSMUST00000166384	243
ENSMUST00000188782	243
ENSMUST00000168907	243
ENSMUST00000188625	0
ENSMUST00000188738	215
ENSMUST00000188298	231
ENSMUST00000171265	243
ENSMUST00000188830	10
ENSMUST00000189050	29
ENSMUST00000097826	224
ENSMUST00000191338	92
ENSMUST00000188486	45
ENSMUST00000052843	0
ENSMUST00000171802	1
ENSMUST00000125294	0
ENSMUST00000140948	0
ENSMUST00000118098	0
ENSMUST00000183059	1
ENSMUST00000185184	63
ENSMUST00000097824	41
ENSMUST00000192299	0
ENSMUST00000147000	0
ENSMUST00000124874	1
ENSMUST00000027049	1
ENSMUST00000130102	1
ENSMUST00000176398	1
ENSMUST00000155163	1
ENSMUST00000027050	561
ENSMUST00000190155	377
ENSMUST00000186528	494
ENSMUST00000188619	316
ENSMUST00000139578	530
ENSMUST00000150509	300
ENSMUST00000191296	183
ENSMUST00000190610	2
ENSMUST00000191012	79
ENSMUST00000071087	1288
ENSMUST00000143606	111
ENSMUST00000191360	84
ENSMUST00000117415	296
ENSMUST00000191521	83
ENSMUST00000118263	302
ENSMUST00000122156	308
ENSMUST00000190063	83
ENSMUST00000119714	296
ENSMUST00000134716	83
ENSMUST00000155974	83
ENSMUST00000186294	1211
ENSMUST00000149214	118
ENSMUST00000190318	106
ENSMUST00000188249	229
ENSMUST00000153804	131
ENSMUST00000188449	277
ENSMUST00000123261	194
ENSMUST00000185422	151
ENSMUST00000190625	125
ENSMUST00000187226	354
ENSMUST00000136283	100
ENSMUST00000128164	107
ENSMUST00000136898	56
ENSMUST00000148663	103
ENSMUST00000194474	0
ENSMUST00000088615	1909
ENSMUST00000187417	126
ENSMUST00000142497	128
ENSMUST00000156563	338
ENSMUST00000128834	30
ENSMUST00000131556	931
ENSMUST00000186813	158
ENSMUST00000186720	242
ENSMUST00000192111	1
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	313
ENSMUST00000190935	12
ENSMUST00000189822	52
ENSMUST00000187694	31
ENSMUST00000188189	37
ENSMUST00000187745	38
ENSMUST00000189385	55
ENSMUST00000188154	22
ENSMUST00000193623	0
ENSMUST00000171690	0
ENSMUST00000048613	0
ENSMUST00000150870	0
ENSMUST00000142117	0
ENSMUST00000141512	0
ENSMUST00000135014	0
ENSMUST00000137824	0
ENSMUST00000179089	0
ENSMUST00000141339	0
ENSMUST00000191437	0
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	2
ENSMUST00000180062	2
ENSMUST00000186051	1
ENSMUST00000187376	1
ENSMUST00000088585	2
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	1
ENSMUST00000188454	24
ENSMUST00000115403	24
ENSMUST00000115402	16
ENSMUST00000136197	13
ENSMUST00000146763	12
ENSMUST00000147606	10
ENSMUST00000133201	4
ENSMUST00000191566	9
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	650
ENSMUST00000068304	644
ENSMUST00000006037	466
ENSMUST00000185275	9
ENSMUST00000146784	25
ENSMUST00000133232	65
ENSMUST00000147927	257
ENSMUST00000143603	225
ENSMUST00000139970	82
ENSMUST00000124088	61
ENSMUST00000145280	56
ENSMUST00000195493	0
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	0
ENSMUST00000195506	5
ENSMUST00000195718	8
ENSMUST00000027068	4032
ENSMUST00000185447	1134
ENSMUST00000188377	1031
ENSMUST00000027071	496
ENSMUST00000156222	72
ENSMUST00000194537	11
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	214
ENSMUST00000168081	214
ENSMUST00000080664	199
ENSMUST00000190337	155
ENSMUST00000189526	21
ENSMUST00000188857	67
ENSMUST00000185453	41
ENSMUST00000187790	39
ENSMUST00000185329	14
ENSMUST00000193605	0
