Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	0
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	285
ENSMUST00000156816	379
ENSMUST00000045689	216
ENSMUST00000115538	303
ENSMUST00000192286	236
ENSMUST00000146665	236
ENSMUST00000132625	157
ENSMUST00000195445	3
ENSMUST00000134384	418
ENSMUST00000027036	971
ENSMUST00000150971	418
ENSMUST00000119612	372
ENSMUST00000137887	323
ENSMUST00000115529	494
ENSMUST00000131119	388
ENSMUST00000141278	257
ENSMUST00000155020	549
ENSMUST00000081551	733
ENSMUST00000165720	681
ENSMUST00000194052	0
ENSMUST00000002533	2
ENSMUST00000118000	2
ENSMUST00000119256	1
ENSMUST00000170566	1
ENSMUST00000147158	1
ENSMUST00000156289	1
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	582
ENSMUST00000044369	606
ENSMUST00000194676	226
ENSMUST00000194301	565
ENSMUST00000194978	114
ENSMUST00000192029	182
ENSMUST00000192698	605
ENSMUST00000192142	236
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	76
ENSMUST00000160871	94
ENSMUST00000027040	1443
ENSMUST00000162210	34
ENSMUST00000160062	70
ENSMUST00000162795	616
ENSMUST00000161327	1348
ENSMUST00000159802	297
ENSMUST00000162257	764
ENSMUST00000159206	76
ENSMUST00000159661	243
ENSMUST00000161183	158
ENSMUST00000159349	109
ENSMUST00000159530	241
ENSMUST00000162418	102
ENSMUST00000159656	217
ENSMUST00000133144	8
ENSMUST00000140079	1
ENSMUST00000131494	1
ENSMUST00000043578	1
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	1
ENSMUST00000151281	1
ENSMUST00000139838	0
ENSMUST00000163727	1
ENSMUST00000132207	0
ENSMUST00000142304	0
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	659
ENSMUST00000182114	87
ENSMUST00000182306	22
ENSMUST00000182823	409
ENSMUST00000182675	177
ENSMUST00000182388	77
ENSMUST00000182892	553
ENSMUST00000183204	549
ENSMUST00000194854	55
ENSMUST00000132064	0
ENSMUST00000191683	0
ENSMUST00000140295	0
ENSMUST00000140302	0
ENSMUST00000115484	0
ENSMUST00000135046	0
ENSMUST00000115488	0
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	1
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	605
ENSMUST00000144177	62
ENSMUST00000027044	62
ENSMUST00000130927	8
ENSMUST00000186467	18
ENSMUST00000190654	61
ENSMUST00000088666	0
ENSMUST00000088658	747
ENSMUST00000115468	462
ENSMUST00000160022	56
ENSMUST00000160451	64
ENSMUST00000188212	154
ENSMUST00000057438	772
ENSMUST00000166384	401
ENSMUST00000188782	403
ENSMUST00000168907	403
ENSMUST00000188625	2
ENSMUST00000188738	355
ENSMUST00000188298	374
ENSMUST00000171265	403
ENSMUST00000188830	27
ENSMUST00000189050	47
ENSMUST00000097826	362
ENSMUST00000191338	113
ENSMUST00000188486	55
ENSMUST00000052843	0
ENSMUST00000171802	1
ENSMUST00000125294	0
ENSMUST00000140948	2
ENSMUST00000118098	0
ENSMUST00000183059	1
ENSMUST00000185184	376
ENSMUST00000097824	293
ENSMUST00000192299	1
ENSMUST00000147000	0
ENSMUST00000124874	0
ENSMUST00000027049	0
ENSMUST00000130102	0
ENSMUST00000176398	0
ENSMUST00000155163	0
ENSMUST00000027050	767
ENSMUST00000190155	495
ENSMUST00000186528	694
ENSMUST00000188619	402
ENSMUST00000139578	680
ENSMUST00000150509	395
ENSMUST00000191296	291
ENSMUST00000190610	3
ENSMUST00000191012	56
ENSMUST00000071087	997
ENSMUST00000143606	84
ENSMUST00000191360	64
ENSMUST00000117415	212
ENSMUST00000191521	63
ENSMUST00000118263	215
ENSMUST00000122156	221
ENSMUST00000190063	63
ENSMUST00000119714	211
ENSMUST00000134716	63
ENSMUST00000155974	63
ENSMUST00000186294	921
ENSMUST00000149214	97
ENSMUST00000190318	87
ENSMUST00000188249	194
ENSMUST00000153804	109
ENSMUST00000188449	217
ENSMUST00000123261	133
ENSMUST00000185422	128
ENSMUST00000190625	109
ENSMUST00000187226	249
ENSMUST00000136283	81
ENSMUST00000128164	84
ENSMUST00000136898	34
ENSMUST00000148663	82
ENSMUST00000194474	0
ENSMUST00000088615	2105
ENSMUST00000187417	135
ENSMUST00000142497	143
ENSMUST00000156563	340
ENSMUST00000128834	41
ENSMUST00000131556	1112
ENSMUST00000186813	175
ENSMUST00000186720	273
ENSMUST00000192111	0
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	46
ENSMUST00000190935	1
ENSMUST00000189822	10
ENSMUST00000187694	1
ENSMUST00000188189	10
ENSMUST00000187745	10
ENSMUST00000189385	17
ENSMUST00000188154	8
ENSMUST00000193623	0
ENSMUST00000171690	2
ENSMUST00000048613	0
ENSMUST00000150870	0
ENSMUST00000142117	0
ENSMUST00000141512	0
ENSMUST00000135014	2
ENSMUST00000137824	0
ENSMUST00000179089	0
ENSMUST00000141339	2
ENSMUST00000191437	0
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	0
ENSMUST00000180062	0
ENSMUST00000186051	0
ENSMUST00000187376	0
ENSMUST00000088585	0
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	0
ENSMUST00000188454	16
ENSMUST00000115403	16
ENSMUST00000115402	8
ENSMUST00000136197	5
ENSMUST00000146763	5
ENSMUST00000147606	5
ENSMUST00000133201	0
ENSMUST00000191566	5
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	786
ENSMUST00000068304	784
ENSMUST00000006037	576
ENSMUST00000185275	6
ENSMUST00000146784	46
ENSMUST00000133232	94
ENSMUST00000147927	296
ENSMUST00000143603	278
ENSMUST00000139970	89
ENSMUST00000124088	66
ENSMUST00000145280	59
ENSMUST00000195493	0
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	1
ENSMUST00000195506	2
ENSMUST00000195718	3
ENSMUST00000027068	2494
ENSMUST00000185447	666
ENSMUST00000188377	582
ENSMUST00000027071	673
ENSMUST00000156222	115
ENSMUST00000194537	11
ENSMUST00000088542	0
ENSMUST00000194709	1
ENSMUST00000193148	0
ENSMUST00000027066	298
ENSMUST00000168081	298
ENSMUST00000080664	285
ENSMUST00000190337	224
ENSMUST00000189526	46
ENSMUST00000188857	91
ENSMUST00000185453	67
ENSMUST00000187790	62
ENSMUST00000185329	14
ENSMUST00000193605	1
ENSMUST00000027062	6
