Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	0
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	288
ENSMUST00000156816	388
ENSMUST00000045689	221
ENSMUST00000115538	308
ENSMUST00000192286	241
ENSMUST00000146665	235
ENSMUST00000132625	155
ENSMUST00000195445	6
ENSMUST00000134384	390
ENSMUST00000027036	987
ENSMUST00000150971	389
ENSMUST00000119612	343
ENSMUST00000137887	322
ENSMUST00000115529	457
ENSMUST00000131119	364
ENSMUST00000141278	235
ENSMUST00000155020	527
ENSMUST00000081551	673
ENSMUST00000165720	631
ENSMUST00000194052	1
ENSMUST00000002533	7
ENSMUST00000118000	7
ENSMUST00000119256	7
ENSMUST00000170566	7
ENSMUST00000147158	6
ENSMUST00000156289	5
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	643
ENSMUST00000044369	677
ENSMUST00000194676	253
ENSMUST00000194301	639
ENSMUST00000194978	113
ENSMUST00000192029	204
ENSMUST00000192698	676
ENSMUST00000192142	259
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	77
ENSMUST00000160871	88
ENSMUST00000027040	1414
ENSMUST00000162210	23
ENSMUST00000160062	66
ENSMUST00000162795	558
ENSMUST00000161327	1335
ENSMUST00000159802	281
ENSMUST00000162257	784
ENSMUST00000159206	72
ENSMUST00000159661	253
ENSMUST00000161183	171
ENSMUST00000159349	141
ENSMUST00000159530	249
ENSMUST00000162418	96
ENSMUST00000159656	243
ENSMUST00000133144	12
ENSMUST00000140079	0
ENSMUST00000131494	0
ENSMUST00000043578	0
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	0
ENSMUST00000151281	0
ENSMUST00000139838	0
ENSMUST00000163727	0
ENSMUST00000132207	0
ENSMUST00000142304	0
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	1069
ENSMUST00000182114	110
ENSMUST00000182306	34
ENSMUST00000182823	649
ENSMUST00000182675	242
ENSMUST00000182388	107
ENSMUST00000182892	880
ENSMUST00000183204	869
ENSMUST00000194854	50
ENSMUST00000132064	0
ENSMUST00000191683	0
ENSMUST00000140295	0
ENSMUST00000140302	0
ENSMUST00000115484	0
ENSMUST00000135046	0
ENSMUST00000115488	0
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	0
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	519
ENSMUST00000144177	93
ENSMUST00000027044	92
ENSMUST00000130927	17
ENSMUST00000186467	32
ENSMUST00000190654	90
ENSMUST00000088666	0
ENSMUST00000088658	821
ENSMUST00000115468	482
ENSMUST00000160022	61
ENSMUST00000160451	58
ENSMUST00000188212	156
ENSMUST00000057438	937
ENSMUST00000166384	442
ENSMUST00000188782	444
ENSMUST00000168907	442
ENSMUST00000188625	0
ENSMUST00000188738	403
ENSMUST00000188298	428
ENSMUST00000171265	442
ENSMUST00000188830	23
ENSMUST00000189050	51
ENSMUST00000097826	417
ENSMUST00000191338	151
ENSMUST00000188486	61
ENSMUST00000052843	0
ENSMUST00000171802	2
ENSMUST00000125294	0
ENSMUST00000140948	5
ENSMUST00000118098	0
ENSMUST00000183059	2
ENSMUST00000185184	679
ENSMUST00000097824	531
ENSMUST00000192299	6
ENSMUST00000147000	0
ENSMUST00000124874	0
ENSMUST00000027049	0
ENSMUST00000130102	0
ENSMUST00000176398	0
ENSMUST00000155163	0
ENSMUST00000027050	732
ENSMUST00000190155	488
ENSMUST00000186528	628
ENSMUST00000188619	378
ENSMUST00000139578	646
ENSMUST00000150509	368
ENSMUST00000191296	249
ENSMUST00000190610	8
ENSMUST00000191012	77
ENSMUST00000071087	1270
ENSMUST00000143606	116
ENSMUST00000191360	89
ENSMUST00000117415	298
ENSMUST00000191521	88
ENSMUST00000118263	310
ENSMUST00000122156	321
ENSMUST00000190063	88
ENSMUST00000119714	297
ENSMUST00000134716	90
ENSMUST00000155974	88
ENSMUST00000186294	1167
ENSMUST00000149214	136
ENSMUST00000190318	155
ENSMUST00000188249	228
ENSMUST00000153804	131
ENSMUST00000188449	259
ENSMUST00000123261	176
ENSMUST00000185422	173
ENSMUST00000190625	139
ENSMUST00000187226	313
ENSMUST00000136283	91
ENSMUST00000128164	92
ENSMUST00000136898	64
ENSMUST00000148663	124
ENSMUST00000194474	0
ENSMUST00000088615	2558
ENSMUST00000187417	203
ENSMUST00000142497	190
ENSMUST00000156563	474
ENSMUST00000128834	41
ENSMUST00000131556	1234
ENSMUST00000186813	196
ENSMUST00000186720	309
ENSMUST00000192111	0
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	43
ENSMUST00000190935	2
ENSMUST00000189822	4
ENSMUST00000187694	4
ENSMUST00000188189	3
ENSMUST00000187745	3
ENSMUST00000189385	7
ENSMUST00000188154	3
ENSMUST00000193623	0
ENSMUST00000171690	4
ENSMUST00000048613	2
ENSMUST00000150870	0
ENSMUST00000142117	0
ENSMUST00000141512	2
ENSMUST00000135014	4
ENSMUST00000137824	2
ENSMUST00000179089	2
ENSMUST00000141339	4
ENSMUST00000191437	2
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	0
ENSMUST00000180062	0
ENSMUST00000186051	0
ENSMUST00000187376	0
ENSMUST00000088585	0
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	0
ENSMUST00000188454	24
ENSMUST00000115403	24
ENSMUST00000115402	9
ENSMUST00000136197	5
ENSMUST00000146763	5
ENSMUST00000147606	5
ENSMUST00000133201	1
ENSMUST00000191566	4
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	923
ENSMUST00000068304	922
ENSMUST00000006037	645
ENSMUST00000185275	5
ENSMUST00000146784	55
ENSMUST00000133232	105
ENSMUST00000147927	327
ENSMUST00000143603	303
ENSMUST00000139970	86
ENSMUST00000124088	74
ENSMUST00000145280	63
ENSMUST00000195493	0
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	1
ENSMUST00000195506	7
ENSMUST00000195718	3
ENSMUST00000027068	2820
ENSMUST00000185447	772
ENSMUST00000188377	667
ENSMUST00000027071	747
ENSMUST00000156222	125
ENSMUST00000194537	14
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	439
ENSMUST00000168081	439
ENSMUST00000080664	414
ENSMUST00000190337	338
ENSMUST00000189526	55
ENSMUST00000188857	123
ENSMUST00000185453	91
ENSMUST00000187790	78
ENSMUST00000185329	17
ENSMUST00000193605	0
ENSMUST00000027062	12
