x y potential
-10 -10 2.2783
-9.8 -10 1.8268
-9.6 -10 1.0128
-9.4 -10 1.0297
-9.2 -10 1.8491
-9 -10 2.2561
-8.8 -10 1.5903
-8.6 -10 0.7393
-8.4 -10 0.9439
-8.2 -10 2.0337
-8 -10 2.5672
-7.8 -10 1.7613
-7.6 -10 0.5992
-7.4 -10 0.5708
-7.2 -10 1.7063
-7 -10 2.5417
-6.8 -10 2.0524
-6.6 -10 0.953
-6.4 -10 0.6644
-6.2 -10 1.4167
-6 -10 2.06
-5.8 -10 1.738
-5.6 -10 1.0392
-5.4 -10 1.057
-5.2 -10 1.7604
-5 -10 2.0259
-4.8 -10 1.3002
-4.6 -10 0.5064
-4.4 -10 0.8253
-4.2 -10 1.9856
-4 -10 2.4875
-3.8 -10 1.5755
-3.6 -10 0.3179
-3.4 -10 0.2743
-3.2 -10 1.4752
-3 -10 2.3941
-2.8 -10 1.9364
-2.6 -10 0.7961
-2.4 -10 0.4327
-2.2 -10 1.1373
-2 -10 1.7915
-1.8 -10 1.5214
-1.6 -10 0.8695
-1.4 -10 0.8961
-1.2 -10 1.5732
-1 -10 1.8068
-0.8 -10 1.0701
-0.6 -10 0.29
-0.4 -10 0.6317
-0.2 -10 1.8083
0 -10 2.318
0.2 -10 1.413
0.4 -10 0.165
0.6 -10 0.127
0.8 -10 1.3223
1 -10 2.2295
1.2 -10 1.773
1.4 -10 0.6616
1.6 -10 0.3469
1.8 -10 1.0891
2 -10 1.7411
2.2 -10 1.4305
2.4 -10 0.7388
2.6 -10 0.7726
2.8 -10 1.5159
3 -10 1.8359
3.2 -10 1.1427
3.4 -10 0.3297
3.6 -10 0.5917
3.8 -10 1.7163
4 -10 2.2602
4.2 -10 1.465
4.4 -10 0.3253
4.6 -10 0.3109
4.8 -10 1.4279
5 -10 2.2235
5.2 -10 1.7244
5.4 -10 0.6895
5.6 -10 0.5224
5.8 -10 1.371
6 -10 2.0042
6.2 -10 1.5667
6.4 -10 0.7489
6.6 -10 0.7708
6.8 -10 1.6385
7 -10 2.1267
7.2 -10 1.5121
7.4 -10 0.6241
7.6 -10 0.7197
7.8 -10 1.7267
8 -10 2.3054
8.2 -10 1.6761
8.4 -10 0.7013
8.6 -10 0.7158
8.8 -10 1.6999
9 -10 2.3091
9.2 -10 1.724
9.4 -10 0.7765
9.6 -10 0.7998
9.8 -10 1.7844
10 -10 2.3842
-10 -9.8 1.7147
-9.8 -9.8 1.2979
-9.6 -9.8 0.6664
-9.4 -9.8 0.6862
-9.2 -9.8 1.3329
-9 -9.8 1.7247
-8.8 -9.8 1.3369
-8.6 -9.8 0.7265
-8.4 -9.8 0.7636
-8.2 -9.8 1.4244
-8 -9.8 1.8106
-7.8 -9.8 1.3796
-7.6 -9.8 0.7015
-7.4 -9.8 0.6964
-7.2 -9.8 1.3889
-7 -9.8 1.8751
-6.8 -9.8 1.5387
-6.6 -9.8 0.8598
-6.4 -9.8 0.7348
-6.2 -9.8 1.2686
-6 -9.8 1.6879
-5.8 -9.8 1.4482
-5.6 -9.8 0.9668
-5.4 -9.8 0.9793
-5.2 -9.8 1.4606
-5 -9.8 1.6575
-4.8 -9.8 1.1957
-4.6 -9.8 0.6809
-4.4 -9.8 0.8929
-4.2 -9.8 1.6543
-4 -9.8 1.9771
-3.8 -9.8 1.3649
-3.6 -9.8 0.528
-3.4 -9.8 0.5048
-3.2 -9.8 1.3206
-3 -9.8 1.9572
-2.8 -9.8 1.6664
-2.6 -9.8 0.8861
-2.4 -9.8 0.5909
-2.2 -9.8 1.0165
-2 -9.8 1.4649
-1.8 -9.8 1.3529
-1.6 -9.8 0.9822
-1.4 -9.8 0.9926
-1.2 -9.8 1.3591
-1 -9.8 1.4195
-0.8 -9.8 0.9024
-0.6 -9.8 0.4455
-0.4 -9.8 0.7683
-0.2 -9.8 1.596
0 -9.8 1.8863
0.2 -9.8 1.1718
0.4 -9.8 0.245
0.6 -9.8 0.2096
0.8 -9.8 1.0892
1 -9.8 1.8048
1.2 -9.8 1.5429
1.4 -9.8 0.7233
1.6 -9.8 0.3587
1.8 -9.8 0.7414
2 -9.8 1.2015
2.2 -9.8 1.1379
2.4 -9.8 0.81
2.6 -9.8 0.8284
2.8 -9.8 1.1726
3 -9.8 1.2067
3.2 -9.8 0.6818
3.4 -9.8 0.237
3.6 -9.8 0.578
3.8 -9.8 1.419
4 -9.8 1.7187
4.2 -9.8 1.0165
4.4 -9.8 0.1041
4.6 -9.8 0.075
4.8 -9.8 0.9453
5 -9.8 1.6448
5.2 -9.8 1.383
5.4 -9.8 0.5959
5.6 -9.8 0.2855
5.8 -9.8 0.7087
6 -9.8 1.1645
6.2 -9.8 1.0557
6.4 -9.8 0.6847
6.6 -9.8 0.7115
6.8 -9.8 1.1267
7 -9.8 1.2515
7.2 -9.8 0.7703
7.4 -9.8 0.2885
7.6 -9.8 0.5452
7.8 -9.8 1.3328
8 -9.8 1.6698
8.2 -9.8 1.0822
8.4 -9.8 0.2804
8.6 -9.8 0.2725
8.8 -9.8 1.0593
9 -9.8 1.6437
9.2 -9.8 1.3401
9.4 -9.8 0.6339
9.6 -9.8 0.4746
9.8 -9.8 1.0039
10 -9.8 1.4365
-10 -9.6 0.6932
-9.8 -9.6 0.4322
-9.6 -9.6 0.1916
-9.4 -9.6 0.2191
-9.2 -9.6 0.4862
-9 -9.6 0.7224
-8.8 -9.6 0.7149
-8.6 -9.6 0.5232
-8.4 -9.6 0.3757
-8.2 -9.6 0.4021
-8 -9.6 0.5265
-7.8 -9.6 0.6099
-7.6 -9.6 0.6199
-7.4 -9.6 0.6175
-7.2 -9.6 0.6294
-7 -9.6 0.6131
-6.8 -9.6 0.5546
-6.6 -9.6 0.527
-6.4 -9.6 0.6002
-6.2 -9.6 0.7231
-6 -9.6 0.766
-5.8 -9.6 0.6862
-5.6 -9.6 0.5937
-5.4 -9.6 0.6136
-5.2 -9.6 0.721
-5 -9.6 0.7751
-4.8 -9.6 0.7127
-4.6 -9.6 0.6392
-4.4 -9.6 0.6854
-4.2 -9.6 0.8193
-4 -9.6 0.8724
-3.8 -9.6 0.7599
-3.6 -9.6 0.606
-3.4 -9.6 0.6024
-3.2 -9.6 0.7719
-3 -9.6 0.9371
-2.8 -9.6 0.9288
-2.6 -9.6 0.7729
-2.4 -9.6 0.6385
-2.2 -9.6 0.638
-2 -9.6 0.7345
-1.8 -9.6 0.8318
-1.6 -9.6 0.8856
-1.4 -9.6 0.8933
-1.2 -9.6 0.8336
-1 -9.6 0.6953
-0.8 -9.6 0.5634
-0.6 -9.6 0.5879
-0.4 -9.6 0.807
-0.2 -9.6 1.0366
0 -9.6 1.0231
0.2 -9.6 0.7301
0.4 -9.6 0.4218
0.6 -9.6 0.4042
0.8 -9.6 0.6972
1 -9.6 1.0092
1.2 -9.6 1.0421
1.4 -9.6 0.7837
1.6 -9.6 0.4824
1.8 -9.6 0.3788
2 -9.6 0.5069
2.2 -9.6 0.7301
2.4 -9.6 0.8902
2.6 -9.6 0.8928
2.8 -9.6 0.7199
3 -9.6 0.4501
3.2 -9.6 0.2674
3.4 -9.6 0.3503
3.6 -9.6 0.6766
3.8 -9.6 0.9685
4 -9.6 0.9217
4.2 -9.6 0.5304
4.4 -9.6 0.1378
4.6 -9.6 0.1109
4.8 -9.6 0.466
5 -9.6 0.8526
5.2 -9.6 0.9116
5.4 -9.6 0.6158
5.6 -9.6 0.2505
5.8 -9.6 0.1088
6 -9.6 0.2492
6.2 -9.6 0.5172
6.4 -9.6 0.7158
6.6 -9.6 0.726
6.8 -9.6 0.5347
7 -9.6 0.2444
7.2 -9.6 0.0569
7.4 -9.6 0.1499
7.6 -9.6 0.4899
7.8 -9.6 0.7922
8 -9.6 0.7567
8.2 -9.6 0.383
8.4 -9.6 0.0094
8.6 -9.6 -0.0108
8.8 -9.6 0.3311
9 -9.6 0.6972
9.2 -9.6 0.7556
9.4 -9.6 0.4961
9.6 -9.6 0.1904
9.8 -9.6 0.0917
10 -9.6 0.2256
-10 -9.4 0.7053
-9.8 -9.4 0.3207
-9.6 -9.4 -0.0147
-9.4 -9.4 0.0202
-9.2 -9.4 0.3889
-9 -9.4 0.7328
-8.8 -9.4 0.74
-8.6 -9.4 0.4443
-8.4 -9.4 0.1472
-8.2 -9.4 0.0943
-8 -9.4 0.2726
-7.8 -9.4 0.4978
-7.6 -9.4 0.6162
-7.4 -9.4 0.5913
-7.2 -9.4 0.4581
-7 -9.4 0.286
-6.8 -9.4 0.186
-6.6 -9.4 0.2657
-6.4 -9.4 0.5069
-6.2 -9.4 0.7177
-6 -9.4 0.6913
-5.8 -9.4 0.4368
-5.6 -9.4 0.2057
-5.4 -9.4 0.2378
-5.2 -9.4 0.5009
-5 -9.4 0.7281
-4.8 -9.4 0.7147
-4.6 -9.4 0.5254
-4.4 -9.4 0.3869
-4.2 -9.4 0.4212
-4 -9.4 0.5455
-3.8 -9.4 0.6212
-3.6 -9.4 0.6224
-3.4 -9.4 0.6179
-3.2 -9.4 0.6361
-3 -9.4 0.6292
-2.8 -9.4 0.5749
-2.6 -9.4 0.5427
-2.4 -9.4 0.6062
-2.2 -9.4 0.7227
-2 -9.4 0.7678
-1.8 -9.4 0.6967
-1.6 -9.4 0.6117
-1.4 -9.4 0.6311
-1.2 -9.4 0.7303
-1 -9.4 0.7751
-0.8 -9.4 0.7102
-0.6 -9.4 0.6427
-0.4 -9.4 0.698
-0.2 -9.4 0.8356
0 -9.4 0.8837
0.2 -9.4 0.7612
0.4 -9.4 0.6007
0.6 -9.4 0.599
0.8 -9.4 0.7769
1 -9.4 0.9493
1.2 -9.4 0.9401
1.4 -9.4 0.7758
1.6 -9.4 0.6321
1.8 -9.4 0.629
2 -9.4 0.7313
2.2 -9.4 0.8372
2.4 -9.4 0.8945
2.6 -9.4 0.8971
2.8 -9.4 0.8276
3 -9.4 0.6828
3.2 -9.4 0.5528
3.4 -9.4 0.5856
3.6 -9.4 0.8114
3.8 -9.4 1.0402
4 -9.4 1.0184
4.2 -9.4 0.7166
4.4 -9.4 0.4061
4.6 -9.4 0.3944
4.8 -9.4 0.6959
5 -9.4 1.0112
5.2 -9.4 1.039
5.4 -9.4 0.7713
5.6 -9.4 0.4643
5.8 -9.4 0.3631
6 -9.4 0.4995
6.2 -9.4 0.7294
6.4 -9.4 0.8884
6.6 -9.4 0.8832
6.8 -9.4 0.7022
7 -9.4 0.4312
7.2 -9.4 0.2549
7.4 -9.4 0.3462
7.6 -9.4 0.6756
7.8 -9.4 0.9625
8 -9.4 0.9071
8.2 -9.4 0.511
8.4 -9.4 0.1218
8.6 -9.4 0.1035
8.8 -9.4 0.4651
9 -9.4 0.8505
9.2 -9.4 0.9019
9.4 -9.4 0.599
9.6 -9.4 0.2335
9.8 -9.4 0.0989
10 -9.4 0.248
-10 -9.2 1.7978
-9.8 -9.2 1.0568
-9.6 -9.2 0.1721
-9.4 -9.2 0.2129
-9.2 -9.2 1.1387
-9 -9.2 1.8321
-8.8 -9.2 1.4985
-8.6 -9.2 0.6188
-8.4 -9.2 0.2573
-8.2 -9.2 0.7045
-8 -9.2 1.2372
-7.8 -9.2 1.1941
-7.6 -9.2 0.8186
-7.4 -9.2 0.7628
-7.2 -9.2 1.0699
-7 -9.2 1.1363
-6.8 -9.2 0.6867
-6.6 -9.2 0.2979
-6.4 -9.2 0.6304
-6.2 -9.2 1.4077
-6 -9.2 1.6442
-5.8 -9.2 0.9337
-5.6 -9.2 0.0758
-5.4 -9.2 0.1186
-5.2 -9.2 1.0193
-5 -9.2 1.6848
-4.8 -9.2 1.356
-4.6 -9.2 0.5275
-4.4 -9.2 0.2369
-4.2 -9.2 0.7246
-4 -9.2 1.2359
-3.8 -9.2 1.129
-3.6 -9.2 0.7078
-3.4 -9.2 0.6775
-3.2 -9.2 1.0785
-3 -9.2 1.2438
-2.8 -9.2 0.8232
-2.6 -9.2 0.3719
-2.4 -9.2 0.6057
-2.2 -9.2 1.3397
-2 -9.2 1.6402
-1.8 -9.2 1.0642
-1.6 -9.2 0.3112
-1.4 -9.2 0.3476
-1.2 -9.2 1.1374
-1 -9.2 1.6839
-0.8 -9.2 1.3365
-0.6 -9.2 0.6189
-0.4 -9.2 0.4895
-0.2 -9.2 1.0626
0 -9.2 1.5148
0.2 -9.2 1.2541
0.4 -9.2 0.7154
0.6 -9.2 0.7091
0.8 -9.2 1.2653
1 -9.2 1.596
1.2 -9.2 1.2171
1.4 -9.2 0.6485
1.6 -9.2 0.7023
1.8 -9.2 1.344
2 -9.2 1.7201
2.2 -9.2 1.3295
2.4 -9.2 0.7204
2.6 -9.2 0.7389
2.8 -9.2 1.3607
3 -9.2 1.7248
3.2 -9.2 1.3295
3.4 -9.2 0.7371
3.6 -9.2 0.8013
3.8 -9.2 1.4736
4 -9.2 1.8445
4.2 -9.2 1.3837
4.4 -9.2 0.6856
4.6 -9.2 0.6862
4.8 -9.2 1.4039
5 -9.2 1.9114
5.2 -9.2 1.5726
5.4 -9.2 0.8684
5.6 -9.2 0.7156
5.8 -9.2 1.2416
6 -9.2 1.6783
6.2 -9.2 1.4645
6.4 -9.2 0.9937
6.6 -9.2 0.9907
6.8 -9.2 1.4426
7 -9.2 1.6201
7.2 -9.2 1.1642
7.4 -9.2 0.674
7.6 -9.2 0.9064
7.8 -9.2 1.665
8 -9.2 1.9631
8.2 -9.2 1.3243
8.4 -9.2 0.4809
8.6 -9.2 0.4754
8.8 -9.2 1.3166
9 -9.2 1.963
9.2 -9.2 1.6572
9.4 -9.2 0.849
9.6 -9.2 0.5365
9.8 -9.2 0.9696
10 -9.2 1.4427
-10 -9 2.5104
-9.8 -9 1.6502
-9.6 -9 0.5016
-9.4 -9 0.5423
-9.2 -9 1.742
-9 -9 2.5785
-8.8 -9 2.0228
-8.6 -9 0.8438
-8.4 -9 0.5293
-8.2 -9 1.3318
-8 -9 2.0582
-7.8 -9 1.78
-7.6 -9 1.0461
-7.4 -9 0.9778
-7.2 -9 1.6163
-7 -9 1.8937
-6.8 -9 1.2471
-6.6 -9 0.5325
-6.4 -9 0.8627
-6.2 -9 1.9558
-6 -9 2.3689
-5.8 -9 1.4222
-5.6 -9 0.2146
-5.4 -9 0.2642
-5.2 -9 1.5232
-5 -9 2.4163
-4.8 -9 1.8716
-4.6 -9 0.6578
-4.4 -9 0.2983
-4.2 -9 1.0823
-4 -9 1.8256
-3.8 -9 1.5802
-3.6 -9 0.8698
-3.4 -9 0.8064
-3.2 -9 1.4401
-3 -9 1.7157
-2.8 -9 1.0723
-2.6 -9 0.3598
-2.4 -9 0.6887
-2.2 -9 1.7861
-2 -9 2.2205
-1.8 -9 1.31
-1.6 -9 0.1326
-1.4 -9 0.1831
-1.2 -9 1.4123
-1 -9 2.2738
-0.8 -9 1.7346
-0.6 -9 0.5766
-0.4 -9 0.2929
-0.2 -9 1.1183
0 -9 1.8368
0.2 -9 1.5227
0.4 -9 0.7646
0.6 -9 0.7294
0.8 -9 1.4621
