x y potential
-10 -10 0.5783
-9.8 -10 0.7142
-9.6 -10 0.8505
-9.4 -10 0.8674
-9.2 -10 0.7364
-9 -10 0.5561
-8.8 -10 0.4776
-8.6 -10 0.577
-8.4 -10 0.7816
-8.2 -10 0.921
-8 -10 0.8672
-7.8 -10 0.6486
-7.6 -10 0.4369
-7.4 -10 0.4084
-7.2 -10 0.5936
-7 -10 0.8417
-6.8 -10 0.9397
-6.6 -10 0.7907
-6.4 -10 0.502
-6.2 -10 0.304
-6 -10 0.36
-5.8 -10 0.6253
-5.6 -10 0.8769
-5.4 -10 0.8947
-5.2 -10 0.6477
-5 -10 0.3259
-4.8 -10 0.1875
-4.6 -10 0.344
-4.4 -10 0.663
-4.2 -10 0.8729
-4 -10 0.7875
-3.8 -10 0.4629
-3.6 -10 0.1556
-3.4 -10 0.1119
-3.2 -10 0.3625
-3 -10 0.6941
-2.8 -10 0.8238
-2.6 -10 0.6338
-2.4 -10 0.2704
-2.2 -10 0.0246
-2 -10 0.0915
-1.8 -10 0.4087
-1.6 -10 0.7071
-1.4 -10 0.7338
-1.2 -10 0.4605
-1 -10 0.1068
-0.8 -10 -0.0425
-0.6 -10 0.1277
-0.4 -10 0.4694
-0.2 -10 0.6956
0 -10 0.618
0.2 -10 0.3004
0.4 -10 0.0027
0.6 -10 -0.0353
0.8 -10 0.2096
1 -10 0.5295
1.2 -10 0.6604
1.4 -10 0.4993
1.6 -10 0.1846
1.8 -10 -0.0235
2 -10 0.0411
2.2 -10 0.3178
2.4 -10 0.5765
2.6 -10 0.6103
2.8 -10 0.4033
3 -10 0.1359
3.2 -10 0.03
3.4 -10 0.1673
3.6 -10 0.4294
3.8 -10 0.6036
4 -10 0.5602
4.2 -10 0.3524
4.4 -10 0.163
4.6 -10 0.1486
4.8 -10 0.3152
5 -10 0.5235
5.2 -10 0.6117
5.4 -10 0.5272
5.6 -10 0.36
5.8 -10 0.2584
6 -10 0.3042
6.2 -10 0.454
6.4 -10 0.5865
6.6 -10 0.6085
6.8 -10 0.5258
7 -10 0.4267
7.2 -10 0.3995
7.4 -10 0.4618
7.6 -10 0.5574
7.8 -10 0.6141
8 -10 0.6054
8.2 -10 0.5635
8.4 -10 0.539
8.6 -10 0.5534
8.8 -10 0.5873
9 -10 0.6091
9.2 -10 0.6113
9.4 -10 0.6142
9.6 -10 0.6375
9.8 -10 0.6718
10 -10 0.6842
-10 -9.8 0.602
-9.8 -9.8 0.5696
-9.6 -9.8 0.5601
-9.4 -9.8 0.58
-9.2 -9.8 0.6047
-9 -9.8 0.6121
-8.8 -9.8 0.6087
-8.6 -9.8 0.6202
-8.4 -9.8 0.6573
-8.2 -9.8 0.6962
-8 -9.8 0.6979
-7.8 -9.8 0.6514
-7.6 -9.8 0.5953
-7.4 -9.8 0.5901
-7.2 -9.8 0.6607
-7 -9.8 0.7624
-6.8 -9.8 0.8104
-6.6 -9.8 0.7535
-6.4 -9.8 0.6286
-6.2 -9.8 0.5404
-6 -9.8 0.5753
-5.8 -9.8 0.7199
-5.6 -9.8 0.8605
-5.4 -9.8 0.873
-5.2 -9.8 0.7324
-5 -9.8 0.5449
-4.8 -9.8 0.4674
-4.6 -9.8 0.5747
-4.4 -9.8 0.7867
-4.2 -9.8 0.9261
-4 -9.8 0.8645
-3.8 -9.8 0.6366
-3.6 -9.8 0.4217
-3.4 -9.8 0.3985
-3.2 -9.8 0.5923
-3 -9.8 0.8445
-2.8 -9.8 0.9382
-2.6 -9.8 0.7799
-2.4 -9.8 0.4847
-2.2 -9.8 0.2882
-2 -9.8 0.3522
-1.8 -9.8 0.6246
-1.6 -9.8 0.876
-1.4 -9.8 0.8863
-1.2 -9.8 0.6309
-1 -9.8 0.3068
-0.8 -9.8 0.1742
-0.6 -9.8 0.3393
-0.4 -9.8 0.6621
-0.2 -9.8 0.8678
0 -9.8 0.7736
0.2 -9.8 0.4435
0.4 -9.8 0.1387
0.6 -9.8 0.1034
0.8 -9.8 0.361
1 -9.8 0.6922
1.2 -9.8 0.8147
1.4 -9.8 0.6171
1.6 -9.8 0.2525
1.8 -9.8 0.0132
2 -9.8 0.0889
2.2 -9.8 0.4097
2.4 -9.8 0.7038
2.6 -9.8 0.7222
2.8 -9.8 0.4443
3 -9.8 0.094
3.2 -9.8 -0.0464
3.4 -9.8 0.1307
3.6 -9.8 0.4718
3.8 -9.8 0.6908
4 -9.8 0.6061
4.2 -9.8 0.2882
4.4 -9.8 -0.0022
4.6 -9.8 -0.0312
4.8 -9.8 0.217
5 -9.8 0.5322
5.2 -9.8 0.6548
5.4 -9.8 0.4897
5.6 -9.8 0.1793
5.8 -9.8 -0.0195
6 -9.8 0.0518
6.2 -9.8 0.3274
6.4 -9.8 0.5784
6.6 -9.8 0.6052
6.8 -9.8 0.3985
7 -9.8 0.1389
7.2 -9.8 0.0421
7.4 -9.8 0.1823
7.6 -9.8 0.4389
7.8 -9.8 0.6045
8 -9.8 0.5572
8.2 -9.8 0.354
8.4 -9.8 0.1741
8.6 -9.8 0.1663
8.8 -9.8 0.3311
9 -9.8 0.5311
9.2 -9.8 0.6119
9.4 -9.8 0.5276
9.6 -9.8 0.3684
9.8 -9.8 0.2757
10 -9.8 0.3239
-10 -9.6 0.5308
-9.8 -9.6 0.326
-9.6 -9.6 0.1761
-9.4 -9.6 0.2036
-9.2 -9.6 0.3799
-9 -9.6 0.5601
-8.8 -9.6 0.6087
-8.6 -9.6 0.5077
-8.4 -9.6 0.3602
-8.2 -9.6 0.2958
-8 -9.6 0.3641
-7.8 -9.6 0.5037
-7.6 -9.6 0.6044
-7.4 -9.6 0.602
-7.2 -9.6 0.5231
-7 -9.6 0.4508
-6.8 -9.6 0.4483
-6.6 -9.6 0.5115
-6.4 -9.6 0.5847
-6.2 -9.6 0.6169
-6 -9.6 0.6037
-5.8 -9.6 0.5799
-5.6 -9.6 0.5782
-5.4 -9.6 0.5981
-5.2 -9.6 0.6147
-5 -9.6 0.6127
-4.8 -9.6 0.6065
-4.6 -9.6 0.6237
-4.4 -9.6 0.6699
-4.2 -9.6 0.713
-4 -9.6 0.7101
-3.8 -9.6 0.6536
-3.6 -9.6 0.5905
-3.4 -9.6 0.5869
-3.2 -9.6 0.6657
-3 -9.6 0.7748
-2.8 -9.6 0.8225
-2.6 -9.6 0.7574
-2.4 -9.6 0.623
-2.2 -9.6 0.5318
-2 -9.6 0.5722
-1.8 -9.6 0.7255
-1.6 -9.6 0.8701
-1.4 -9.6 0.8778
-1.2 -9.6 0.7273
-1 -9.6 0.533
-0.8 -9.6 0.4571
-0.6 -9.6 0.5724
-0.4 -9.6 0.7915
-0.2 -9.6 0.9304
0 -9.6 0.8607
0.2 -9.6 0.6238
0.4 -9.6 0.4063
0.6 -9.6 0.3887
0.8 -9.6 0.591
1 -9.6 0.8469
1.2 -9.6 0.9359
1.4 -9.6 0.7682
1.6 -9.6 0.4669
1.8 -9.6 0.2725
2 -9.6 0.3446
2.2 -9.6 0.6239
2.4 -9.6 0.8747
2.6 -9.6 0.8773
2.8 -9.6 0.6136
3 -9.6 0.2878
3.2 -9.6 0.1612
3.4 -9.6 0.3348
3.6 -9.6 0.6611
3.8 -9.6 0.8622
4 -9.6 0.7594
4.2 -9.6 0.4241
4.4 -9.6 0.1222
4.6 -9.6 0.0954
4.8 -9.6 0.3598
5 -9.6 0.6902
5.2 -9.6 0.8053
5.4 -9.6 0.6003
5.6 -9.6 0.235
5.8 -9.6 0.0025
6 -9.6 0.0869
6.2 -9.6 0.411
6.4 -9.6 0.7003
6.6 -9.6 0.7105
6.8 -9.6 0.4285
7 -9.6 0.0821
7.2 -9.6 -0.0494
7.4 -9.6 0.1344
7.6 -9.6 0.4744
7.8 -9.6 0.6859
8 -9.6 0.5944
8.2 -9.6 0.2767
8.4 -9.6 -0.0061
8.6 -9.6 -0.0263
8.8 -9.6 0.2248
9 -9.6 0.5349
9.2 -9.6 0.6493
9.4 -9.6 0.4806
9.6 -9.6 0.1749
9.8 -9.6 -0.0145
10 -9.6 0.0633
-10 -9.4 0.543
-9.8 -9.4 0.2145
-9.6 -9.4 -0.0302
-9.4 -9.4 0.0047
-9.2 -9.4 0.2827
-9 -9.4 0.5704
-8.8 -9.4 0.6338
-8.6 -9.4 0.4288
-8.4 -9.4 0.1317
-8.2 -9.4 -0.012
-8 -9.4 0.1103
-7.8 -9.4 0.3915
-7.6 -9.4 0.6007
-7.4 -9.4 0.5758
-7.2 -9.4 0.3519
-7 -9.4 0.1237
-6.8 -9.4 0.0797
-6.6 -9.4 0.2502
-6.4 -9.4 0.4913
-6.2 -9.4 0.6115
-6 -9.4 0.5289
-5.8 -9.4 0.3306
-5.6 -9.4 0.1902
-5.4 -9.4 0.2223
-5.2 -9.4 0.3946
-5 -9.4 0.5658
-4.8 -9.4 0.6084
-4.6 -9.4 0.5099
-4.4 -9.4 0.3714
-4.2 -9.4 0.3149
-4 -9.4 0.3832
-3.8 -9.4 0.515
-3.6 -9.4 0.6069
-3.4 -9.4 0.6024
-3.2 -9.4 0.5299
-3 -9.4 0.4669
-2.8 -9.4 0.4686
-2.6 -9.4 0.5272
-2.4 -9.4 0.5907
-2.2 -9.4 0.6165
-2 -9.4 0.6055
-1.8 -9.4 0.5905
-1.6 -9.4 0.5962
-1.4 -9.4 0.6156
-1.2 -9.4 0.624
-1 -9.4 0.6128
-0.8 -9.4 0.604
-0.6 -9.4 0.6272
-0.4 -9.4 0.6825
-0.2 -9.4 0.7294
0 -9.4 0.7214
0.2 -9.4 0.655
0.4 -9.4 0.5852
0.6 -9.4 0.5835
0.8 -9.4 0.6707
1 -9.4 0.7869
1.2 -9.4 0.8338
1.4 -9.4 0.7603
1.6 -9.4 0.6166
1.8 -9.4 0.5227
2 -9.4 0.5689
2.2 -9.4 0.731
2.4 -9.4 0.879
2.6 -9.4 0.8816
2.8 -9.4 0.7213
3 -9.4 0.5205
3.2 -9.4 0.4466
3.4 -9.4 0.5701
3.6 -9.4 0.7959
3.8 -9.4 0.934
4 -9.4 0.856
4.2 -9.4 0.6103
4.4 -9.4 0.3906
4.6 -9.4 0.3789
4.8 -9.4 0.5897
