MUV-20a as-synthesised	
2 q(deg.)	Intenisty (a. u.)
2.00E+00	7.86E+03
2.02E+00	7.81E+03
2.03E+00	7.67E+03
2.04E+00	7.61E+03
2.06E+00	7.49E+03
2.07E+00	7.64E+03
2.08E+00	7.50E+03
2.10E+00	7.54E+03
2.11E+00	7.47E+03
2.12E+00	7.35E+03
2.14E+00	7.19E+03
2.15E+00	7.23E+03
2.16E+00	7.20E+03
2.18E+00	7.02E+03
2.19E+00	7.07E+03
2.20E+00	7.02E+03
2.22E+00	7.05E+03
2.23E+00	6.96E+03
2.24E+00	6.97E+03
2.25E+00	6.91E+03
2.27E+00	6.84E+03
2.28E+00	6.81E+03
2.29383	6.59E+03
2.30696	6.70E+03
2.32009	6.73E+03
2.33322	6599
2.34635	6702
2.35948	6595
2.37261	6550
2.38574	6467
2.39887	6494
2.412	6315
2.42513	6454
2.43826	6503
2.45139	6464
2.46453	6239
2.47766	6119
2.49079	6267
2.50392	6216
2.51705	6393
2.53018	6155
2.54331	6278
2.55644	6145
2.56957	6247
2.5827	5975
2.59583	6137
2.60896	6154
2.62209	6045
2.63522	5990
2.64835	5948
2.66148	5894
2.67461	5997
2.68774	5774
2.70087	5967
2.714	5950
2.72713	5924
2.74026	5820
2.75339	5817
2.76652	5755
2.77965	5687
2.79278	5632
2.80591	5631
2.81904	5539
2.83217	5672
2.8453	5640
2.85843	5629
2.87156	5588
2.88469	5681
2.89782	5700
2.91095	5437
2.92408	5629
2.93722	5470
2.95035	5552
2.96348	5440
2.97661	5515
2.98974	5342
3.00287	5536
3.016	5316
3.02913	5344
3.04226	5587
3.05539	5255
3.06852	5425
3.08165	5280
3.09478	5377
3.10791	5427
3.12104	5229
3.13417	5235
3.1473	5375
3.16043	5273
3.17356	5179
3.18669	5287
3.19982	5248
3.21295	5152
3.22608	5269
3.23921	5217
3.25234	5212
3.26547	5139
3.2786	5070
3.29173	5051
3.30486	5101
3.31799	5024
3.33112	5069
3.34425	4949
3.35738	4983
3.37051	4869
3.38364	5023
3.39678	5016
3.40991	5099
3.42304	5023
3.43617	4852
3.4493	4969
3.46243	4953
3.47556	5041
3.48869	5005
3.50182	4808
3.51495	4941
3.52808	4820
3.54121	4735
3.55434	4890
3.56747	4823
3.5806	4780
3.59373	4898
3.60686	5009
3.61999	4701
3.63312	4727
3.64625	4747
3.65938	4910
3.67251	4871
3.68564	4923
3.69877	4815
3.7119	4752
3.72503	4814
3.73816	4611
3.75129	4623
3.76442	4741
3.77755	4723
3.79068	4739
3.80381	4678
3.81694	4691
3.83007	4638
3.8432	4660
3.85633	4670
3.86947	4475
3.8826	4705
3.89573	4562
