CH3Cl	
2 q(deg.)	Intenisty (a. u.)
2.00E+00	7.25E+03
2.02E+00	7.03E+03
2.03E+00	6.90E+03
2.04E+00	6.94E+03
2.06E+00	6.86E+03
2.07E+00	6.70E+03
2.08E+00	6.69E+03
2.10E+00	6.79E+03
2.11E+00	6.73E+03
2.12E+00	6.60E+03
2.14E+00	6.75E+03
2.15E+00	6.54E+03
2.16E+00	6.39E+03
2.18E+00	6.46E+03
2.19E+00	6.36E+03
2.20E+00	6.39E+03
2.22E+00	6.34E+03
2.23E+00	6.32E+03
2.24E+00	6.29E+03
2.25E+00	6.29E+03
2.27E+00	6.31E+03
2.28E+00	6.10E+03
2.29383	6.08E+03
2.30696	6.14E+03
2.32009	6.01E+03
2.33322	6093
2.34635	6015
2.35948	5871
2.37261	5977
2.38574	5858
2.39887	5788
2.412	5857
2.42513	5811
2.43826	5824
2.45139	5698
2.46453	5619
2.47766	5623
2.49079	5760
2.50392	5625
2.51705	5646
2.53018	5482
2.54331	5485
2.55644	5565
2.56957	5576
2.5827	5540
2.59583	5451
2.60896	5333
2.62209	5475
2.63522	5485
2.64835	5293
2.66148	5518
2.67461	5329
2.68774	5377
2.70087	5308
2.714	5188
2.72713	5381
2.74026	5253
2.75339	5193
2.76652	5254
2.77965	5131
2.79278	5060
2.80591	5180
2.81904	5243
2.83217	5104
2.8453	5114
2.85843	5076
2.87156	5098
2.88469	5035
2.89782	5161
2.91095	5141
2.92408	5022
2.93722	5009
2.95035	4863
2.96348	5001
2.97661	4885
2.98974	5045
3.00287	4860
3.016	4910
3.02913	4860
3.04226	4838
3.05539	4850
3.06852	4779
3.08165	4872
3.09478	4711
3.10791	4730
3.12104	4930
3.13417	4779
3.1473	4820
3.16043	4926
3.17356	4688
3.18669	4667
3.19982	4652
3.21295	4716
3.22608	4757
3.23921	4670
3.25234	4657
3.26547	4658
3.2786	4689
3.29173	4515
3.30486	4597
3.31799	4691
3.33112	4666
3.34425	4542
3.35738	4552
3.37051	4550
3.38364	4564
3.39678	4606
3.40991	4409
3.42304	4493
3.43617	4483
3.4493	4412
3.46243	4553
3.47556	4561
3.48869	4426
3.50182	4397
3.51495	4479
3.52808	4336
3.54121	4346
3.55434	4364
3.56747	4384
3.5806	4416
3.59373	4562
3.60686	4358
3.61999	4366
3.63312	4355
3.64625	4359
3.65938	4230
3.67251	4405
3.68564	4165
3.69877	4283
3.7119	4285
3.72503	4169
3.73816	4216
3.75129	4241
3.76442	4234
3.77755	4252
3.79068	4266
3.80381	4001
3.81694	4187
3.83007	4269
3.8432	4199
3.85633	4198
3.86947	4083
3.8826	4174
3.89573	4166
3.90886	4372
3.92199	4075
3.93512	4133
3.94825	4235
3.96138	4146
3.97451	4154
3.98764	4164
4.00077	4153
4.0139	4023
4.02703	4111
4.04016	4135
4.05329	4200
4.06642	4082
4.07955	4222
4.09268	4168
4.10581	4047
4.11894	4066
4.13207	4175
4.1452	4094
4.15833	3931
4.17146	4004
4.18459	4052
4.19772	4155
4.21085	4070
4.22398	3973
4.23711	4156
4.25024	4060
4.26337	4152
4.2765	4042
4.28963	4066
4.30276	4044
4.31589	4126
4.32903	4118
4.34216	4129
4.35529	4165
4.36842	4053
4.38155	4138
4.39468	4070
4.40781	4165
4.42094	4075
4.43407	4198
4.4472	4192
4.46033	4061
4.47346	4116
4.48659	4121
4.49972	4268
4.51285	4189
4.52598	4179
4.53911	4199
4.55224	4216
4.56537	4192
4.5785	4241
4.59163	4307
4.60476	4239
