Hexane	
2 q(deg.)	Intenisty (a. u.)
2.00E+00	8.45E+03
2.02E+00	8.23E+03
2.03E+00	8.02E+03
2.04E+00	8.00E+03
2.06E+00	8.08E+03
2.07E+00	8.11E+03
2.08E+00	8.00E+03
2.10E+00	7.85E+03
2.11E+00	7.88E+03
2.12E+00	7.85E+03
2.14E+00	7.73E+03
2.15E+00	7.68E+03
2.16E+00	7.60E+03
2.18E+00	7.58E+03
2.19E+00	7.58E+03
2.20E+00	7.48E+03
2.22E+00	7.43E+03
2.23E+00	7.42E+03
2.24E+00	7.23E+03
2.25E+00	7.37E+03
2.27E+00	7.20E+03
2.28E+00	7.23E+03
2.29383	7.21E+03
2.30696	7.14E+03
2.32009	6.99E+03
2.33322	7175
2.34635	6887
2.35948	6967
2.37261	6963
2.38574	6975
2.39887	6833
2.412	6918
2.42513	6739
2.43826	6747
2.45139	6730
2.46453	6672
2.47766	6592
2.49079	6682
2.50392	6550
2.51705	6569
2.53018	6632
2.54331	6480
2.55644	6583
2.56957	6628
2.5827	6450
2.59583	6456
2.60896	6257
2.62209	6271
2.63522	6377
2.64835	6272
2.66148	6318
2.67461	6290
2.68774	6144
2.70087	6044
2.714	6252
2.72713	6235
2.74026	6026
2.75339	6078
2.76652	6043
2.77965	5971
2.79278	6095
2.80591	5956
2.81904	6105
2.83217	6111
2.8453	5936
2.85843	6062
2.87156	5952
2.88469	5941
2.89782	5928
2.91095	5941
2.92408	5831
2.93722	5831
2.95035	5927
2.96348	5778
2.97661	5790
2.98974	5737
3.00287	5775
3.016	5767
3.02913	5792
3.04226	5727
3.05539	5760
3.06852	5560
3.08165	5735
3.09478	5634
3.10791	5599
3.12104	5496
3.13417	5795
3.1473	5481
3.16043	5569
3.17356	5517
3.18669	5595
3.19982	5489
3.21295	5533
3.22608	5556
3.23921	5622
3.25234	5478
3.26547	5547
3.2786	5450
3.29173	5374
3.30486	5403
3.31799	5475
3.33112	5410
3.34425	5460
3.35738	5472
3.37051	5610
3.38364	5336
3.39678	5509
3.40991	5370
3.42304	5479
3.43617	5274
3.4493	5302
3.46243	5404
3.47556	5411
3.48869	5412
3.50182	5311
3.51495	5287
3.52808	5367
3.54121	5333
3.55434	5251
3.56747	5297
3.5806	5388
3.59373	5265
3.60686	5293
3.61999	5315
3.63312	5248
3.64625	5301
3.65938	5218
3.67251	5256
