MUV-21 as-synthesised	
2 q(deg.)	Intenisty (a. u.)
2.00E+00	7.55E+03
2.02E+00	7.42E+03
2.03E+00	7.38E+03
2.04E+00	7.40E+03
2.06E+00	7.15E+03
2.07E+00	7.26E+03
2.08E+00	7.08E+03
2.10E+00	7.14E+03
2.11E+00	7.14E+03
2.12E+00	7.01E+03
2.14E+00	6.85E+03
2.15E+00	7.07E+03
2.16E+00	6.87E+03
2.18E+00	6.71E+03
2.19E+00	6.90E+03
2.20E+00	6.67E+03
2.22E+00	6.87E+03
2.23E+00	6.64E+03
2.24E+00	6.85E+03
2.25E+00	6.59E+03
2.27E+00	6.35E+03
2.28E+00	6.63E+03
2.29383	6.41E+03
2.30696	6.53E+03
2.32009	6.49E+03
2.33322	6484
2.34635	6606
2.35948	6424
2.37261	6349
2.38574	6377
2.39887	6257
2.412	6192
2.42513	6300
2.43826	6252
2.45139	6069
2.46453	6145
2.47766	6198
2.49079	6052
2.50392	6129
2.51705	5929
2.53018	6032
2.54331	6115
2.55644	5930
2.56957	5852
2.5827	5982
2.59583	5837
2.60896	5876
2.62209	5922
2.63522	5822
2.64835	5949
2.66148	5851
2.67461	5798
2.68774	5822
2.70087	5753
2.714	5775
2.72713	5752
2.74026	5761
2.75339	5845
2.76652	5697
2.77965	5719
2.79278	5628
2.80591	5513
2.81904	5696
2.83217	5511
2.8453	5689
2.85843	5661
2.87156	5511
2.88469	5465
2.89782	5573
2.91095	5504
2.92408	5582
2.93722	5513
2.95035	5326
2.96348	5541
2.97661	5363
2.98974	5504
3.00287	5384
3.016	5387
3.02913	5509
3.04226	5404
3.05539	5360
3.06852	5296
3.08165	5235
3.09478	5404
3.10791	5250
3.12104	5253
3.13417	5265
3.1473	5255
3.16043	5239
3.17356	5168
3.18669	5099
3.19982	5243
3.21295	5249
3.22608	5166
3.23921	5210
3.25234	5195
3.26547	5219
3.2786	5066
3.29173	5060
3.30486	5147
3.31799	5122
3.33112	5150
3.34425	5053
3.35738	5062
3.37051	5233
3.38364	5048
3.39678	5023
3.40991	5143
3.42304	5005
3.43617	4988
3.4493	5033
3.46243	5023
3.47556	4936
3.48869	4868
3.50182	5064
3.51495	5021
3.52808	4926
3.54121	4986
3.55434	4931
