	timeframe	Output voltage	Output voltage
		[V]	[V]
		Mean	Standard Deviation
output 1	--	--	--
--	0	0.00568723959333333	8.68900423682222E-4
--	1	0.00891119793666667	6.39431682851924E-4
--	2	0.00802059896666667	7.62554557738051E-4
--	3	0.00766190105666667	6.94015355676146E-4
--	4	0.00930674486	6.06080642022131E-4
--	--	--	--
--	--	--	--
--	--	--	--
output 2	--	--	--
--	0	0.00231994792666667	0.00113417912960122
--	1	0.00456950522333333	6.59708073057942E-4
--	2	0.00532565106	6.22396181871987E-4
--	3	0.00448791667666667	5.57214020113483E-4
--	4	0.00559367188333333	5.87037852832338E-4
--	--	--	--
--	--	--	--
--	--	--	--
output 3	--	--	--
--	0	0.00577572918333333	5.34693778644187E-4
--	1	0.00689973960666667	5.07199374507775E-4
--	2	0.00686742188666667	6.35726055885819E-4
--	3	0.00764830731333333	4.4433237969218E-4
--	4	0.00728710939333333	4.94197103930205E-4
		
