	Reservoir output	Output voltage	Output voltage
	#	[V]	[V]
		Mean	Standard Deviation
P1 - diag 1		--	--
--	1	0.00930674486	6.06080642022131E-4
--	2	0.00559367188333333	5.87037852832338E-4
--	3	0.00728710939333333	4.94197103930205E-4
--	--	--	--
P2 - diag 2	--	--	--
--	1	0.00852549480666667	7.93891986072793E-4
--	2	0.00527666668333333	5.69735289663766E-4
--	3	0.00717244794	5.94528863341005E-4
--	--	--	--
P3 - horiz	--	--	--
--	1	0.00468872397	9.79221967765985E-4
--	2	0.00284338544666667	6.00217644105551E-4
--	3	0.00716296877333333	6.39516281866717E-4
--	--	--	--
P4 - vert	--	--	--
--	1	0.00653539064	8.99953257577576E-4
--	2	9.52187513333333E-4	9.84512873940034E-4
--	3	0.00622809897	7.17425961630266E-4
