MUV-21 simulated	
2 q(deg.)	Intenisty (a. u.)
2.00E+00	0.00E+00
2.02E+00	0.00E+00
2.04E+00	0.00E+00
2.06E+00	0.00E+00
2.08E+00	0.00E+00
2.10E+00	0.00E+00
2.12E+00	0.00E+00
2.14E+00	0.00E+00
2.16E+00	0.00E+00
2.18E+00	0.00E+00
2.20E+00	0.00E+00
2.22E+00	0.00E+00
2.24E+00	0.00E+00
2.26E+00	0.00E+00
2.28E+00	0.00E+00
2.30E+00	0.00E+00
2.32E+00	0.00E+00
2.34E+00	0.00E+00
2.36E+00	0.00E+00
2.38E+00	0.00E+00
2.40E+00	0.00E+00
2.42E+00	0.00E+00
2.44	0.00E+00
2.46	0.00E+00
2.48	0.00E+00
2.5	0
2.52	0
2.54	0
2.56	0
2.58	0
2.6	0
2.62	0
2.64	0
2.66	0
2.68	0
2.7	0
2.72	0
2.74	0
2.76	0
2.78	0
2.8	0
2.82	0
2.84	0
2.86	0
2.88	0
2.9	0
2.92	0
2.94	0
2.96	0
2.98	0
3	0
3.02	0
3.04	0
3.06	0
3.08	0
3.1	0
3.12	0
3.14	0
3.16	0
3.18	0
3.2	0
3.22	0
3.24	0
3.26	0
3.28	0
3.3	0
3.32	0
3.34	0
3.36	0
3.38	0
3.4	0
3.42	0
3.44	0
3.46	0
3.48	0
3.5	0
3.52	0
3.54	0
3.56	0
3.58	9.69366
3.6	9.96288
3.62	10.2435
3.64	10.5361
3.66	10.8414
3.68	11.1602
3.7	11.4932
3.72	11.8414
3.74	12.2056
3.76	12.5869
3.78	12.9863
3.8	13.4051
3.82	13.8444
3.84	14.3056
3.86	16.9168
3.88	17.4866
3.9	18.0857
3.92	18.7163
3.94	19.3806
3.96	20.081
3.98	20.8202
4	21.6012
4.02	22.4271
4.04	23.3014
4.06	24.2282
4.08	25.2115
4.1	26.2562
4.12	36.7808
4.14	38.2306
4.16	39.7706
4.18	41.4087
4.2	43.1538
4.22	45.0154
4.24	47.0045
4.26	49.1334
4.28	51.4158
4.3	53.8673
4.32	56.5055
4.34	59.3504
4.36	62.4248
4.38	65.7549
4.4	69.3706
4.42	73.3066
4.44	77.6032
4.46	82.3069
4.48	87.4728
4.5	93.1652
4.52	99.4605
4.54	106.45
4.56	114.242
4.58	122.969
4.6	132.791
4.62	143.906
4.64	156.557
4.66	171.05
4.68	187.77
4.7	207.211
4.72	230.013
4.74	257.017
4.76	289.344
4.78	328.52
4.8	376.654
4.82	436.735
4.84	513.098
4.86	612.255
4.88	744.524
4.9	927.757
4.92	1196.12
4.94	1617.66
4.96	2318.24
4.98	3490.91
5	5343.54
5.02	7850.18
5.04	10000
5.06	9797.86
5.08	7496.81
5.1	5096.02
5.12	3395.95
5.14	2356.48
5.16	1768.5
5.18	1457.07
5.2	1323.83
5.22	1338.03
5.24	1513.01
5.26	1873.38
5.28	2375.71
5.3	2729.38
5.32	2549.67
5.34	2041.93
5.36	1600.78
5.38	1341.28
5.4	1248.37
5.42	1295.22
5.44	1483.96
5.46	1868.76
5.48	2573.46
5.5	3785.63
5.52	5674.78
5.54	8057.79
5.56	9615.71
5.58	8706.28
5.6	6336.5
5.62	4203.48
5.64	2752.61
5.66	1863.71
5.68	1334.85
5.7	1010.21
5.72	797.129
5.74	647.742
5.76	537.907
5.78	454.495
5.8	389.597
5.82	338.091
5.84	296.509
5.86	262.434
5.88	234.143
5.9	210.38
5.92	190.213
5.94	172.939
5.96	158.021
5.98	145.039
6	133.666
6.02	123.641
6.04	114.753
6.06	106.834
6.08	99.7433
6.1	93.3672
6.12	87.6101
6.14	82.3925
6.16	77.6472
6.18	73.3175
6.2	69.355
6.22	65.7181
6.24	62.3713
6.26	59.2837
6.28	56.4286
6.3	53.7825
6.32	51.3251
6.34	49.0383
6.36	46.9064
6.38	44.9152
6.4	43.0525
6.42	41.3071
6.44	39.6691
6.46	38.1296
6.48	36.6808
6.5	35.3155
6.52	34.0273
6.54	23.4137
6.56	22.5094
6.58	21.6567
6.6	20.8518
6.62	20.091
6.64	19.3713
6.66	18.6897
6.68	18.0436
6.7	17.4306
6.72	16.8483
6.74	16.2949
6.76	15.7683
6.78	13.2322
6.8	12.8085
6.82	12.4047
6.84	12.0198
6.86	11.6524
6.88	11.3017
6.9	10.9665
6.92	10.6461
6.94	10.3394
6.96	10.0459
6.98	9.76462
7	9.49501
7.02	9.23641
7.04	0
7.06	0
7.08	0
7.1	0
7.12	0
7.14	0
7.16	0
7.18	0
7.2	0
7.22	0
7.24	0
7.26	0
7.28	0
7.3	0.27364
7.32	0.28139
7.34	0.28948
7.36	0.29792
7.38	0.30673
7.4	0.31594
7.42	0.32558
7.44	0.33565
7.46	0.34621
7.48	0.35727
7.5	0.36887
7.52	0.38104
7.54	0.39383
7.56	0.40727
7.58	0.42141
7.6	0.43629
7.62	0.45198
7.64	0.46853
7.66	0.48601
7.68	0.50448
7.7	0.52403
7.72	0.54473
7.74	1.14513
7.76	1.18446
7.78	1.22593
7.8	1.26971
7.82	1.31597
7.84	1.36492
7.86	1.41678
7.88	1.47178
7.9	1.53021
7.92	1.59235
7.94	1.65855
7.96	1.72919
7.98	1.80468
8	1.88551
8.02	1.97221
8.04	2.06539
8.06	2.16575
8.08	2.27408
8.1	2.3913
8.12	2.51845
8.14	2.65675
8.16	2.80762
8.18	3.0672
8.2	3.2511
8.22	3.45359
8.24	3.67741
8.26	3.92586
8.28	4.20293
8.3	4.51347
8.32	4.86345
8.34	5.26025
8.36	5.71317
8.38	6.23395
8.4	6.83767
8.42	7.54396
8.44	8.37873
8.46	9.37677
8.48	10.5856
8.5	12.0717
8.52	13.9299
8.54	16.2994
8.56	19.3934
8.58	23.5611
8.6	29.4337
8.62	38.2585
8.64	52.8791
8.66	76.6982
8.68	115.873
8.7	174.768
8.72	244.646
8.74	281.438
8.76	245.547
8.78	176.67
8.8	118.85
8.82	80.8117
8.84	58.212
8.86	45.3296
8.88	37.9897
8.9	33.8085
8.92	31.6086
8.94	30.8468
8.96	31.2939
8.98	32.9051
9	35.7832
9.02	40.1947
9.04	46.6387
9.06	56.0295
9.08	70.1461
9.1	92.58
9.12	130.15
9.14	193.771
9.16	296.392
9.18	440.897
9.2	581.263
9.22	598.145
9.24	471.951
9.26	321.829
9.28	210.383
9.3	139.896
9.32	98.0035
9.34	73.0718
9.36	57.4835
9.38	47.1199
9.4	39.9945
9.42	34.9385
9.44	31.4465
9.46	29.2131
9.48	28.1233
9.5	28.2676
9.52	30.0562
9.54	34.4226
9.56	42.9763
9.58	57.7321
9.6	79.5197
9.62	102.307
9.64	107.623
9.66	88.9482
9.68	64.5674
9.7	46.6263
9.72	34.9052
9.74	28.1073
9.76	24.3349
9.78	22.3213
9.8	21.3884
9.82	21.2246
9.84	21.7095
9.86	22.829
9.88	24.6482
9.9	27.3164
9.92	31.1523
9.94	36.4988
9.96	44.2255
9.98	55.9184
10	74.7111
10.02	106.257
10.04	158.833
10.06	240.45
10.08	347.582
10.1	432.406
10.12	412.164
10.14	309.421
10.16	207.783
10.18	136.564
10.2	92.2854
10.22	66.2786
10.24	50.657
10.26	40.7265
10.28	34.0267
10.3	29.3311
10.32	25.995
10.34	23.6503
10.36	22.0781
10.38	21.1549
10.4	20.829
10.42	21.3025
10.44	22.3043
10.46	24.2467
10.48	27.6331
10.5	33.4924
10.52	43.6828
10.54	60.9012
10.56	87.633
10.58	121.642
10.6	145.472
10.62	136.396
10.64	105.119
10.66	75.0881
10.68	54.5853
10.7	42.2068
10.72	36.5721
10.74	35.3293
10.76	37.9989
10.78	45.1652
10.8	57.6318
10.82	73.9367
10.84	84.9827
10.86	79.8815
10.88	65.7599
10.9	54.0523
10.92	47.832
10.94	46.556
10.96	49.3286
10.98	55.88
11	67.0062
11.02	85.1888
11.04	115.751
11.06	168.051
11.08	254.811
11.1	385.226
11.12	538.478
11.14	614.613
11.16	530.004
11.18	376.264
11.2	248.458
11.22	164.324
11.24	113.984
11.26	84.9422
11.28	68.3519
11.3	59.5896
11.32	57.0144
11.34	60.4875
11.36	69.5299
11.38	79.2094
11.4	77.8103
11.42	63.4385
11.44	47.36
11.46	35.3868
11.48	27.657
11.5	22.9749
11.52	20.265
11.54	18.8979
11.56	18.5875
11.58	18.7211
11.6	19.4823
11.62	19.2322
11.64	18.0193
11.66	17.0429
11.68	16.8686
11.7	17.5915
11.72	19.2745
11.74	22.1461
11.76	26.8077
11.78	34.525
11.8	47.7433
11.82	70.2058
11.84	105.914
11.86	154.202
11.88	195.038
11.9	189.83
11.92	144.383
11.94	97.3526
11.96	63.865
11.98	42.9813
12	30.549
12.02	23.0216
12.04	18.1759
12.06	14.7224
12.08	12.2793
12.1	10.4613
12.12	9.06399
12.14	7.97395
12.16	7.34527
12.18	6.68365
12.2	6.19031
12.22	5.87201
12.24	5.76472
12.26	5.9225
12.28	6.36197
12.3	6.86892
12.32	6.75231
12.34	5.98315
12.36	4.98244
12.38	4.19656
12.4	3.65389
12.42	3.288
12.44	3.03256
12.46	2.84264
12.48	2.69307
12.5	2.57072
12.52	2.46847
12.54	2.382
12.56	2.30844
12.58	2.24582
12.6	1.60413
12.62	1.57518
12.64	1.55326
12.66	1.53782
12.68	1.52847
12.7	1.52497
12.72	1.52718
12.74	1.53508
12.76	1.54872
12.78	1.56827
12.8	1.594
12.82	1.6319
12.84	1.8498
12.86	1.90222
12.88	1.90961
12.9	1.98281
12.92	2.06818
12.94	2.19529
12.96	2.31463
12.98	2.45649
13	2.62357
13.02	2.81315
13.04	3.02548
13.06	3.28167
13.08	3.61612
13.1	4.06168
13.12	4.7127
13.14	5.71113
13.16	7.28308
13.18	9.67254
13.2	12.8524
13.22	15.657
13.24	15.8161
13.26	13.6549
13.28	11.4259
13.3	10.0457
13.32	9.53454
13.34	9.70553
13.36	10.404
13.38	11.3866
13.4	13.0566
13.42	15.3727
13.44	18.5532
13.46	23.0805
13.48	29.878
13.5	40.7764
13.52	59.0347
13.54	89.3195
13.56	135.808
13.58	194.372
13.6	233.949
13.62	214.223
13.64	158.241
13.66	107.793
13.68	74.5108
13.7	56.1545
13.72	48.7843
13.74	50.0204
13.76	58.6313
13.78	72.0935
13.8	81.0409
13.82	74.0957
13.84	56.4697
13.86	40.018
13.88	28.5766
13.9	21.4561
13.92	17.1951
13.94	14.6272
13.96	13.0461
13.98	12.0831
14	11.6602
14.02	11.5045
14.04	11.6817
14.06	12.2015
14.08	13.1108
14.1	14.5034
14.12	16.5449
14.14	19.5326
14.16	24.0368
14.18	31.1896
14.2	43.1066
14.22	63.1277
14.24	95.0502
14.26	139.462
14.28	183.192
14.3	192.134
14.32	158.397
14.34	117.712
14.36	89.7113
14.38	71.458
14.4	55.016
14.42	40.3433
14.44	29.5938
14.46	22.494
14.48	18.0394
14.5	15.378
14.52	13.8721
14.54	12.8534
14.56	11.5644
14.58	9.99909
14.6	8.63836
14.62	7.64262
14.64	6.96638
14.66	6.5335
14.68	6.28823
14.7	6.55799
14.72	6.6481
14.74	6.97735
14.76	7.6622
14.78	8.9368
14.8	11.1307
14.82	14.5139
14.84	18.67
14.86	21.1974
14.88	19.5555
14.9	15.7819
14.92	12.6184
14.94	10.7105
14.96	9.85382
14.98	9.74868
15	10.1994
15.02	11.1499
15.04	12.6822
15.06	15.0537
15.08	18.5998
15.1	24.7736
15.12	34.8817
15.14	50.5715
15.16	71.6205
15.18	90.5212
15.2	95.9092
15.22	93.8371
15.24	94.007
15.26	89.1479
15.28	73.0371
15.3	55.5717
15.32	44.071
15.34	39.7219
15.36	42.5086
15.38	53.0135
15.4	71.6568
15.42	94.6515
15.44	106.338
15.46	92.5111
15.48	67.0196
15.5	45.5731
15.52	31.296
15.54	22.6825
15.56	17.758
15.58	14.5894
15.6	12.5371
15.62	11.1559
15.64	10.2277
15.66	9.75415
15.68	9.47483
15.7	9.47001
15.72	9.67197
15.74	9.87671
15.76	9.86588
15.78	9.63582
15.8	9.7593
15.82	10.1314
15.84	10.7375
15.86	11.6527
15.88	12.905
15.9	14.5868
15.92	16.8102
15.94	19.6268
15.96	22.9125
15.98	26.774
16	32.0668
16.02	40.0715
16.04	52.8611
16.06	74.2773
16.08	110.561
16.1	169.352
16.12	253.5
16.14	339.33
16.16	357.478
16.18	287.109
16.2	197.163
16.22	128.965
16.24	85.473
