EtOH	
2 q(deg.)	Intenisty (a. u.)
2.00E+00	7.69E+03
2.02E+00	7.61E+03
2.03E+00	7.55E+03
2.04E+00	7.42E+03
2.06E+00	7.32E+03
2.07E+00	7.36E+03
2.08E+00	7.30E+03
2.10E+00	7.18E+03
2.11E+00	7.30E+03
2.12E+00	7.28E+03
2.14E+00	7.18E+03
2.15E+00	6.97E+03
2.16E+00	7.11E+03
2.18E+00	7.11E+03
2.19E+00	7.05E+03
2.20E+00	6.96E+03
2.22E+00	6.95E+03
2.23E+00	7.08E+03
2.24E+00	6.95E+03
2.25E+00	6.99E+03
2.27E+00	6.81E+03
2.28E+00	6.69E+03
2.29383	6.71E+03
2.30696	6.86E+03
2.32009	6.71E+03
2.33322	6643
2.34635	6516
2.35948	6465
2.37261	6665
2.38574	6439
2.39887	6499
2.412	6546
2.42513	6383
2.43826	6557
2.45139	6283
2.46453	6376
2.47766	6332
2.49079	6382
2.50392	6334
2.51705	6327
2.53018	6325
2.54331	6173
2.55644	6244
2.56957	6184
2.5827	6217
2.59583	6323
2.60896	6034
2.62209	6212
2.63522	5989
2.64835	6057
2.66148	6052
2.67461	6151
2.68774	6087
2.70087	5896
2.714	5879
2.72713	5832
2.74026	5858
2.75339	5793
2.76652	5887
2.77965	5841
2.79278	5976
2.80591	5898
2.81904	5752
2.83217	5774
2.8453	5767
2.85843	5686
2.87156	5715
2.88469	5688
2.89782	5796
2.91095	5731
2.92408	5803
2.93722	5765
2.95035	5582
2.96348	5624
2.97661	5668
2.98974	5688
3.00287	5525
3.016	5667
3.02913	5598
3.04226	5639
3.05539	5504
3.06852	5618
3.08165	5541
3.09478	5489
3.10791	5527
3.12104	5529
3.13417	5392
3.1473	5370
3.16043	5484
3.17356	5456
3.18669	5440
3.19982	5437
3.21295	5380
3.22608	5316
3.23921	5384
3.25234	5197
3.26547	5309
3.2786	5393
3.29173	5361
3.30486	5253
3.31799	5294
3.33112	5276
3.34425	5145
3.35738	5174
3.37051	5300
3.38364	5227
3.39678	5254
3.40991	5146
3.42304	5186
3.43617	5215
3.4493	5257
3.46243	5065
3.47556	5166
3.48869	5121
3.50182	5128
3.51495	5106
3.52808	5138
3.54121	5116
3.55434	5083
3.56747	5063
3.5806	5042
3.59373	5036
3.60686	5003
3.61999	4855
3.63312	5130
3.64625	5098
3.65938	4954
3.67251	4955
3.68564	5023
3.69877	4877
3.7119	5022
3.72503	4976
3.73816	4918
3.75129	4964
3.76442	4840
3.77755	4937
3.79068	4853
3.80381	5058
3.81694	5015
3.83007	4772
3.8432	5024
3.85633	4904
3.86947	4861
3.8826	4897
3.89573	4761
3.90886	4890
3.92199	4830
3.93512	4763
3.94825	4931
3.96138	4967
3.97451	5017
3.98764	4802
4.00077	4682
4.0139	4829
4.02703	4776
4.04016	4677
4.05329	4806
4.06642	4810
4.07955	4624
4.09268	4829
4.10581	4788
4.11894	4786
4.13207	4715
4.1452	4741
4.15833	4859
4.17146	4835
4.18459	4845
4.19772	4662
4.21085	4742
4.22398	4663
4.23711	4757
4.25024	4767
4.26337	4719
4.2765	4796
4.28963	4802
4.30276	4664
4.31589	4844
4.32903	4763
4.34216	4790
4.35529	4683
4.36842	4762
4.38155	4761
4.39468	4817
4.40781	4784
4.42094	4842
4.43407	4800
4.4472	4965
4.46033	4858
4.47346	4865
4.48659	4745
4.49972	4770
4.51285	4732
4.52598	4750
4.53911	4833
4.55224	4705
4.56537	4793
4.5785	4966
4.59163	4933
4.60476	5003
4.61789	5060
4.63102	4953
4.64415	5030
4.65728	5097
4.67041	4903
4.68354	4876
4.69667	4816
4.7098	4810
4.72293	4826
4.73606	4838
4.74919	4806
4.76232	4840
4.77545	4742
4.78859	4907
4.80172	4738
4.81485	4882
4.82798	4740
4.84111	4888
4.85424	4879
4.86737	4997
4.8805	4831
4.89363	4906
4.90676	4954
4.91989	5080
4.93302	4908
4.94615	4977
4.95928	5032
4.97241	5028
4.98554	5072
4.99867	5048
5.0118	5144
5.02493	5190
5.03806	5159
5.05119	5273
5.06432	5253
5.07745	5416
5.09058	5409
5.10371	5348
5.11684	5484
5.12997	5459
5.1431	5447
5.15623	5516
5.16936	5514
5.18249	5772
5.19562	5724
