NaN	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000
-1000	-2.36151904743534E-7	2.83407763131707E-6	-1.63602915223193E-5	-4.38784479141021E-6	-4.09887569516777E-6	1.21873219820443E-5	6.01073839646858E-6	-2.74599438538344E-5	8.27519934586253E-6	2.79746446840798E-6	1.29243296010495E-6	-3.79012952474353E-6	3.47008702798374E-6	1.48991023404435E-6	-2.49877504465617E-5	1.81732165729534E-5	-6.62021363080414E-6	-1.11237889417132E-5	-4.98096519928898E-6	6.53985186301403E-6	-4.29945530383443E-6	1.46331039094989E-5	3.57748338616555E-6	3.42029127283223E-6	1.95325501894989E-5	-9.12787985686474E-6	2.79830260249534E-5	2.4581936346504E-6	1.05702798019231E-5	-7.81906446223196E-8	6.8894206385898E-6	1.24337686731353E-5	2.18908756992314E-6	-6.17608091231929E-6	-1.00450864341375E-5	-2.38046685262232E-6	-2.11267089820163E-5	1.6154368316201E-6	1.68095326483222E-6	2.06369509646859E-6	-1.4837766279289E-5
-900	1.21874756068662E-5	-1.34203650470732E-5	2.20809996929047E-6	1.92822757201996E-5	-2.56666438355801E-6	-8.6453905063459E-6	6.39778550807834E-6	9.53355387777532E-6	3.74984057472289E-7	-1.45922164199823E-5	1.31485328717147E-5	1.00872459868662E-5	-5.8990508604065E-6	-1.7862079543459E-6	8.57635865048043E-7	-1.04774047154368E-5	-5.42096251919438E-6	1.91573500298965E-5	-1.74152816876792E-5	-9.71005862537621E-6	-8.98310592224685E-7	-1.29578751788914E-5	-8.01344470222469E-6	1.99406046444199E-6	2.37977830110865E-6	-7.61468294525499E-6	-4.98607506343681E-6	3.94231746260159E-7	-1.02425920864671E-5	-7.14712129301256E-6	-8.23817265980045E-6	-4.47585925525498E-6	-1.42070625184671E-5	1.70856691992905E-5	2.95906167747229E-6	-1.11698097010126E-5	2.26089321295935E-5	1.69427705432299E-5	-2.49657351955802E-6	1.54313548080784E-5	9.35038387232077E-6
-800	6.74559105574427E-6	-9.74908534819513E-6	9.88249367816851E-6	3.69104802907761E-6	4.51640232532004E-6	1.40269854225321E-5	-4.56561078304361E-6	-5.23095513346632E-7	-4.55642923364967E-6	-1.95762117111042E-5	1.42856851805928E-5	-4.14776602425573E-6	2.27817308471543E-7	-1.86666643454679E-5	3.59147994339261E-5	8.45329027344124E-6	-9.99959001031633E-6	-1.14746235212254E-5	-1.18605973788012E-5	-5.21515071649816E-6	1.04659135166534E-5	1.25953148299867E-5	-2.31703203933466E-5	6.84623917332004E-6	-3.92537019001331E-6	-9.70884643637694E-6	4.14115264544124E-6	5.02034655138211E-7	-8.95069297758906E-6	2.02529299758655E-5	-6.3581603409224E-6	-4.41970746376932E-7	1.62360283704109E-5	4.66323370816852E-6	2.25043786350337E-7	-2.44935622321345E-5	4.49736383847154E-6	9.32872265210791E-6	4.17657248532003E-6	-1.40552708304361E-6	-1.28853873588012E-5
-700	-2.894523767085E-6	-1.00261058310244E-5	2.05075347953393E-5	9.36981854624834E-6	-2.21549715750923E-6	5.59985711970288E-6	-4.12568866587288E-6	-5.06607069617591E-6	8.60275108352107E-6	-5.11261811393348E-6	-6.19225502236517E-7	4.33802192915005E-7	-1.65304889435773E-6	-7.56222108297122E-7	5.38248891096819E-7	-1.0152879393388E-5	-8.1341506931456E-6	-6.41681960405469E-6	1.86086193836955E-6	5.44571860067258E-6	2.75869283382409E-6	-1.41807547528426E-5	2.93555595238241E-5	-9.88489590950923E-6	1.55286021071574E-5	7.55325688079379E-6	-4.26085463738803E-6	3.98705572308939E-7	1.05237835395817E-5	-1.15548229069638E-5	-2.02923294237517E-5	3.12527979707938E-5	1.46444310758168E-6	-7.35778675466076E-6	7.67444330352107E-6	-2.16787945149638E-5	2.78720175564227E-6	-8.80440143072136E-6	-3.14425219750924E-6	-3.50661196587288E-6	1.8227515836955E-7
-600	1.09399000755278E-5	1.36346276353329E-5	-9.44172661217342E-6	5.66718316832699E-6	-1.30859601960443E-5	-8.51135086689554E-6	4.67619954942311E-6	1.1765708169546E-5	-1.10326253960888E-5	-1.01902941152301E-5	-3.90648858025277E-6	2.85349083733326E-6	2.39208020337407E-6	5.80328512226042E-6	-1.51290690546274E-6	9.78693281098597E-6	3.38323045920237E-8	1.76225646674151E-5	1.39357250016506E-5	2.32665478073546E-5	-3.38336603260422E-6	1.75782746092619E-5	9.45104051035269E-6	-2.4841767679848E-5	1.84390106057997E-5	-1.19204090146211E-5	-2.62040282706695E-5	8.09492993903304E-7	8.93448283749297E-6	-2.93738718494767E-5	2.49913975191394E-5	-2.59965631697612E-6	-1.94599059708564E-5	9.66443586073368E-6	-2.07379905707695E-5	-1.32978343550269E-5	1.86377104339287E-5	-4.32550856989099E-6	-1.59943292127929E-5	-9.11428893997869E-7	-1.52473314057362E-7
-500	9.46445445500367E-7	8.16982698156097E-6	1.52413250279246E-5	-4.7565604411663E-6	-2.56660574492387E-6	1.29904433228824E-6	-1.56171685328751E-6	9.14590491640946E-6	4.24554969610643E-6	8.32064021865188E-6	2.66145649103489E-5	-7.63454337449963E-6	3.73797978227645E-7	-1.04101422557118E-5	-1.52215210963178E-5	-3.70168477680267E-6	-9.53208288056024E-6	-2.80227649914693E-5	1.71721827509549E-5	5.52896901325793E-6	-3.78892935359054E-6	3.48106118597428E-5	-2.05527700635905E-5	-2.26181509692387E-6	1.12439101397428E-5	5.15337633337916E-6	9.82619777519734E-6	-1.45596234151057E-5	-1.5971263847833E-5	2.56057273056216E-5	-3.3466494111663E-6	-2.16095417566208E-5	1.3557622320167E-5	-6.47233222207539E-6	-1.59558600838936E-5	2.40676328776216E-5	-1.49521040317724E-5	-1.8279277618136E-5	9.04029401507612E-6	-1.27879411532875E-5	3.58210657095492E-6
-400	-2.66514581169386E-5	-1.62898111808781E-5	-9.66242975451441E-6	1.07655735963947E-5	1.81699989326371E-5	-2.31940700301508E-5	-1.75382682157265E-5	-9.19870224602957E-6	6.41067293366741E-6	-7.44940674378714E-6	-3.11214491209017E-6	1.06479883630613E-5	-9.67053818421138E-6	-6.72649657815078E-6	5.26516274124316E-6	2.76307247607583E-5	-1.70247968029993E-5	2.39953984460916E-5	-1.05780818314841E-5	3.14251285081891E-6	1.94277125839704E-5	-6.63872210269623E-6	1.31071537397043E-6	5.4408152806371E-6	-3.25262148226962E-5	2.78139713094014E-6	2.35247212758313E-7	-7.37422057754471E-6	2.3910512589728E-5	4.18840954318256E-6	-1.02192195736053E-5	3.57365960409401E-5	1.4144883557728E-5	-7.48587932451441E-6	9.36204955366741E-6	3.04758705351826E-5	-1.21065627942114E-5	3.61346419424984E-7	6.1601356526371E-6	-1.64909871157265E-5	-9.62571319148411E-6
-300	-8.42711985352402E-6	-3.85282331746342E-6	1.20720393089002E-5	-4.64889934019069E-6	2.17878151605174E-6	1.18981506332639E-5	-1.09254352311904E-7	-2.01808198261493E-6	-1.8183961482918E-5	-1.23290632803725E-5	3.14931462113245E-5	-5.77149327352402E-6	-2.30972661207967E-5	7.99465708526386E-6	-9.34847195342202E-7	-1.36047159758271E-5	1.03454546204154E-5	-5.00251490493721E-7	-2.72138650880695E-5	4.40150611423354E-6	4.82459394738507E-6	-1.97308596392816E-5	1.44417762373851E-5	-1.27806339594826E-6	1.11155404071841E-6	1.86590735943548E-5	2.41082559617295E-6	4.39833548586992E-6	1.49683486531426E-5	-1.88306533934028E-5	8.41887228980931E-6	1.15944714843548E-5	-9.71910397885735E-6	6.17701213890022E-6	5.05842001708204E-6	1.11698467859719E-6	-1.10388115307967E-5	7.46266588283962E-6	-1.81519062439483E-5	2.10111011476881E-5	-2.59672974806947E-6
-200	6.54258308452475E-6	4.22457922058536E-6	-5.127467153051E-6	-2.75049860214191E-6	-7.53655510589948E-6	-2.47314262868737E-6	-1.60905548142631E-5	6.08902663543385E-6	-2.05377341448692E-5	2.14946624576763E-5	1.77321627493732E-5	-7.36342613547523E-6	-5.32379578274797E-6	1.59524502233126E-5	-4.13889265729343E-6	8.18550216222172E-6	9.95813935846416E-6	-2.08609591524449E-5	4.81109309979312E-7	3.09200116522823E-5	2.14824685433848E-7	-8.72011850123282E-6	2.52300949543385E-6	-1.33819674578995E-5	1.27303528387672E-5	3.75442875240354E-6	-3.14508797857783E-5	2.97374182239187E-5	-1.04939554088086E-5	-2.7494514255354E-5	3.3130506478581E-6	1.14174922124036E-5	-2.90031564080857E-6	1.1833851076949E-5	1.39396649651308E-5	-2.5860093503354E-5	-1.90614999274797E-6	-5.1547457791116E-6	2.60440945410051E-6	1.14961586857369E-5	-5.57912139002069E-6
-100	-1.27832468271826E-5	6.76165150887805E-6	1.01646555352417E-5	-1.27703959538492E-5	1.6808989823932E-6	1.74997345960532E-6	3.43386247402956E-6	7.59681804372654E-6	-9.81480837657649E-6	1.1748276145969E-5	-4.95060376233407E-6	-3.10800710471826E-5	9.22160250554471E-6	1.07950505116053E-5	-1.94853255690007E-5	2.13853676505144E-5	1.56540529267568E-5	-2.80487782641523E-5	2.9120263678272E-5	-1.0918492259425E-5	-6.19821422627346E-6	2.48355765870599E-5	-3.16416525562735E-5	2.26598462303932E-5	2.40292310670599E-5	-6.43576145793038E-5	1.48431801025144E-5	2.41305189122114E-5	-1.99699353205159E-5	5.77165763293866E-6	1.63613427161508E-5	-2.85483586893038E-5	1.34744344474841E-5	1.92882363652417E-5	-2.27057903565765E-5	-1.01123057750613E-5	6.19283215554471E-6	3.56818410918108E-6	-1.7629234576068E-6	4.02405237402956E-6	6.65695089827199E-6
