NaN	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000
-1000	-2.48362299513731E-6	-1.02718024102142E-6	2.83455315772539E-6	-8.05244498421688E-7	-2.91512575820656E-7	3.71560584893154E-6	-3.42241611170607E-6	-5.00745253279036E-6	1.24335142489345E-6	-2.95164844853378E-6	-1.06981702136556E-5	-1.19439491330473E-5	-1.08708368948764E-5	2.48042103579986E-6	3.67098226128405E-5	1.49134843059766E-6	-1.0300920706328E-4	1.06643190662546E-4	1.6391089443278E-4	-1.77413514458871E-4	9.2374446958983E-5	-7.46751773521699E-7	-1.76142757805401E-4	1.89560836828153E-4	-1.91980708292943E-6	-2.29807163039303E-4	1.92715174714034E-4	-1.14962425018977E-4	3.57963391122244E-5	1.50231771569698E-4	-2.60664234344059E-4	7.53282590974482E-5	2.5040848642759E-4	-2.95054635969091E-4	5.27203903148247E-5	1.38676576643667E-4	-1.47978586025097E-4	9.64196863568059E-5	4.00028606434872E-5	-1.6197089133316E-4	8.59081716043056E-5
-900	4.15635050811734E-6	1.27661481817895E-5	2.16732570543248E-6	4.12416093162284E-6	1.41311173470368E-5	-4.13235909437421E-6	-1.11490845499706E-5	6.60885414390292E-6	-5.03796170477441E-6	-2.66215149763782E-5	-3.02630459690262E-5	-2.69493631237784E-5	6.99724826971815E-6	9.80509885086278E-5	-2.0654597673984E-6	-2.8205656058713E-4	2.89455463226208E-4	4.46529388625626E-4	-4.83053251675634E-4	2.15266979537511E-4	-3.97621632416957E-6	-4.81349313692168E-4	5.14262655010132E-4	9.69163044571712E-6	-6.31758770842014E-4	5.18158980371849E-4	-3.16077023229639E-4	9.27682622387766E-5	3.97548159084827E-4	-7.17803051458632E-4	1.9790207406092E-4	6.77104002451059E-4	-8.15791763814747E-4	1.25846365816334E-4	3.67994642134108E-4	-4.09901784283606E-4	2.48219144850964E-4	9.92058667323969E-5	-4.47354959572613E-4	2.20180791008957E-4	1.26018610747131E-4
-800	1.44689290554663E-5	-8.34585876905568E-6	-4.20232474487616E-6	2.22854124473091E-5	-2.27919372086321E-5	-3.19813240220581E-5	5.2878596624571E-6	-1.60386303404596E-5	-6.63589899469379E-5	-7.54323355428321E-5	-6.74609413255861E-5	1.80500846280303E-5	2.24525455701506E-4	-5.69994755944185E-6	-6.37503643159201E-4	6.78287390233825E-4	0.00101753401373125	-0.00110127533235943	4.81244530336509E-4	4.84256542705884E-5	-0.00109168493587011	0.00118514994780362	3.32524605007428E-5	-0.00144579794872506	0.00120733043663705	-7.13432363261332E-4	2.30585422585062E-4	9.08867641325376E-4	-0.00163536857115556	5.10650916546588E-4	0.00154641578045527	-0.00186344142397074	3.21681242304889E-4	8.60361582681753E-4	-9.30896716812401E-4	5.95625202163235E-4	2.40091116274344E-4	-9.98323713877276E-4	5.47737617229331E-4	3.02090572245543E-4	-2.85439583936282E-4
-700	-8.2743224665765E-6	-7.2098126555047E-7	5.06488420518542E-5	-3.36375435636064E-5	-6.16208258408559E-5	1.96609731663283E-5	-3.02769928437064E-5	-1.18388582284655E-4	-1.42471454303645E-4	-1.17525403590063E-4	3.60982609466922E-5	4.31140515662271E-4	2.23881116526E-5	-0.00126306710767434	0.00130741523934513	0.00200344233139597	-0.00208817481771423	7.90694499716078E-4	2.6760050677304E-4	-0.00225377980717782	0.00231647105914398	1.39303858638307E-4	-0.0028937694397401	0.00228322185938862	-0.00133677727297613	3.43003490569562E-4	0.00181666274955157	-0.00320110332795288	9.50161115637025E-4	0.00307381309520404	-0.00363338252663559	5.38648679128656E-4	0.00173224544657972	-0.00181301900755054	0.00112798638634383	5.50023989848792E-4	-0.00197042858016859	0.0010283709619653	6.01009311878111E-4	-5.6495948235133E-4	1.01353126403462E-4
-600	-3.319765476732E-5	4.91959363362198E-5	-8.8592713874864E-5	-1.29746869211869E-4	7.4848514532357E-6	-7.31451259186398E-5	-2.25508319205226E-4	-2.56302414190715E-4	-2.25142645825999E-4	3.60139692435914E-5	7.15715082835638E-4	3.38578280765652E-5	-0.00214183156261645	0.00219403981548504	0.0033497646707618	-0.00358771613502	0.00145477713927189	4.99224026852888E-4	-0.00382048573614056	0.0038540963493836	2.17994852705606E-4	-0.00486073964478716	0.00389765330210693	-0.00213188678716051	6.28528126643877E-4	0.00313642616391504	-0.00532416880926957	0.0017519813584387	0.00504642186739463	-0.00609537044996179	0.00105782292098577	0.00297779956983194	-0.00298191014949542	0.00199053274514695	9.23912706130242E-4	-0.00325505341104632	0.00183486834751977	0.00110930728507732	-8.38293517291932E-4	2.86005938798886E-4	-9.58747655057702E-4
-500	1.18594098727747E-4	-7.85954640875294E-5	-1.31816660975096E-4	3.65309567253178E-5	-5.79107337514402E-5	-2.73478390450051E-4	-3.24367889622736E-4	-2.81739017057842E-4	9.03551952415852E-5	9.98368627651115E-4	1.3716711345678E-4	-0.00295937117872947	0.00286497743976353	0.00472092986672226	-0.00483482404681223	0.00173759877531472	9.54367476345793E-4	-0.00554073258411642	0.0050882772578507	7.6002403736807E-4	-0.00686303612267557	0.0052668569681619	-0.00273178096089206	4.02622920857666E-4	0.00449467487322787	-0.00726530321938019	0.00193894707688973	0.0071767234168744	-0.00846896773406622	0.00114245114183168	0.00412916817804872	-0.00417768027126721	0.00244619652939548	0.00144458796002657	-0.00466732137689235	0.00233569023347622	0.00148973825360786	-0.00128572874168822	2.56428604235209E-4	-0.00142283569888761	0.00133405869782848
-400	2.91116692128832E-5	-2.8591608246453E-5	1.39903855758028E-4	1.42810215804435E-5	-2.12253275152819E-4	-2.7912681282342E-4	-2.63280732577773E-4	1.05760362170697E-4	0.00107025124441508	2.19679933780256E-4	-0.0030870321327764	0.00302182279727579	0.00496263154416776	-0.004931307782904	0.00180615233463985	0.00101245186252826	-0.0058350732918897	0.00522683142178567	0.00100465575958828	-0.00734506189944362	0.00538005711055987	-0.00284012166498268	1.90873218081468E-4	0.004711576691046	-0.00770198719684457	0.00170113995187704	0.00752197463944248	-0.00894476466297104	0.00110627516230309	0.00418679661828729	-0.00450903546503742	0.00235265574265305	0.00145422139816197	-0.0051034260083763	0.00224977579575142	0.00141724006450628	-0.00151756242809656	6.42652149468986E-5	-0.00167260914399491	0.00118628062993088	0.00209512757684267
-300	-7.88289105957348E-5	1.05392170284509E-5	-2.99311975229726E-5	-1.56564746093222E-4	-1.82799856362749E-4	-1.52503526831833E-4	1.22569816867075E-5	5.05107013835052E-4	1.37664564856079E-4	-0.00158563884619641	0.00145661487136196	0.00250262190608763	-0.00238006204807975	7.32201974239726E-4	6.31818326168396E-4	-0.00301725751012519	0.00260545078073134	7.18670210237904E-4	-0.00377054246957875	0.00265031616837602	-0.00128798582628858	1.75199673510247E-7	0.00252235027737095	-0.00366556635404096	6.86266170700344E-4	0.00397289415058113	-0.00440264209129707	5.26328371803569E-4	0.00222307564025991	-0.00217233970606023	0.00119246648270791	9.36450286306817E-4	-0.00250881337121153	0.0011884045186777	8.47556976917649E-4	-6.65064917822433E-4	1.33853800775959E-4	-7.25699909990959E-4	6.71697728958308E-4	0.00120869660047693	-0.00128982741833781
-200	3.04625177068465E-5	9.45349027424325E-5	2.60874206583487E-4	2.97548971534037E-4	2.57339735000383E-4	9.68993250487671E-6	-6.74122887528658E-4	-1.80222294244588E-4	0.00222756014119724	-0.00193998646474799	-0.00354846190957882	0.00332327857115365	-9.38083817904828E-4	-9.42327503754309E-4	0.00415322350261771	-0.00362084098725497	-9.66113600758304E-4	0.0052720433991672	-0.00354876382369042	0.00164982124373179	-2.22361326641688E-5	-0.00360072144341075	0.00509793711543117	-8.18156112088643E-4	-0.00572794728862252	0.00601244663746298	-7.27739864240366E-4	-0.00314833760426534	0.00300181964318062	-0.00172147217161196	-0.00133010205793319	0.00345738166872018	-0.00172061303109862	-0.00126118159486659	8.54187651923164E-4	-2.59343724195145E-4	9.23136200476287E-4	-0.00102098352636507	-0.00177098318898586	0.00172661996870694	8.25874630496714E-4
-100	1.25937553717703E-5	5.0491985920785E-4	6.22722842946748E-4	6.0461292583793E-4	-1.66415993289462E-4	-0.0021543593093976	-7.76368184550329E-4	0.00658559220566848	-0.00575264626921075	-0.0107633006555274	0.00946971743362686	-0.00223440778797745	-0.00370038474369951	0.0128007646586269	-0.0107614318059234	-0.00322756576394463	0.0159851429559949	-0.0102425241823001	0.00413691088099003	0.00107456597656123	-0.010868859709052	0.0153040352163593	-0.00123017178636363	-0.0175865977709667	0.0182067153214441	-0.00114012333750273	-0.00951338591137522	0.00924138330476803	-0.00463067202927699	-0.00396538598721882	0.0108594775364671	-0.00452914472716606	-0.00351793847680817	0.0029891847411169	-2.5578230107934E-4	0.00322737028647853	-0.00230848288327413	-0.00497672729693625	0.00562452169537671	0.00328588678350873	-0.00622464041078615
